display_id	evidence_track	theorem_relation	evidence_component	family	family_label	epsilon	n	repetitions	n_perm	root_cell_seed	conditioning_index	observed_rejection_rate	wilson_95_low	wilson_95_high	model_prediction	absolute_prediction_error	source_file	source_sha256
Figure_3A	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	matched_index_legacy_family	exponential	Exponential	0.05	320	500	99	2026182570	0.44643848415783344	0.232	0.19712923845271468	0.2709574080346774			results/profile_bridge_family_validation_confirmatory_20260817.tsv	ab537b63a9be503edfa0cef2612c525062851fb91bc8974e978a1cd0e428cd03
Figure_3A	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	matched_index_legacy_family	half_normal	Half-normal	0.05	320	500	99	2026282570	0.44551619756177674	0.31	0.2710389112735686	0.3518583381018213			results/profile_bridge_family_validation_confirmatory_20260817.tsv	ab537b63a9be503edfa0cef2612c525062851fb91bc8974e978a1cd0e428cd03
Figure_3A	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	matched_index_legacy_family	scaled_beta12	Scaled Beta(1,2)	0.05	320	500	99	2026382570	0.44575040197460536	0.356	0.3152745600260401	0.398921250026887			results/profile_bridge_family_validation_confirmatory_20260817.tsv	ab537b63a9be503edfa0cef2612c525062851fb91bc8974e978a1cd0e428cd03
Figure_3A	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	matched_index_legacy_family	uniform	Uniform	0.05	320	500	99	2026082570	0.4443093267672924	0.334	0.29406381245587715	0.3764674685773583			results/profile_bridge_family_validation_confirmatory_20260817.tsv	ab537b63a9be503edfa0cef2612c525062851fb91bc8974e978a1cd0e428cd03
Figure_3B	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	prospective_fifth_family_prediction	hyperexponential	Hyperexponential	0.05	80	200	99	2026192661	0.22335673548473198	0.46	0.39233051799971463	0.5291771081104667	0.5662665809262755	0.10626658092627544	results/claim3_prospective_family_validation_20260825.tsv	5fdf300acf42c65fa520bd3c089b5c02a45d844bc73ba3e15e94d1b3c4fbf713
Figure_3B	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	prospective_fifth_family_prediction	hyperexponential	Hyperexponential	0.1	80	200	99	2026202661	0.44616324371867094	0.195	0.1460552053440051	0.25544044374612745	0.307448566460593	0.11244856646059298	results/claim3_prospective_family_validation_20260825.tsv	5fdf300acf42c65fa520bd3c089b5c02a45d844bc73ba3e15e94d1b3c4fbf713
Figure_3B	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	prospective_fifth_family_prediction	hyperexponential	Hyperexponential	0.2	80	200	99	2026212661	0.889757140128278	0.075	0.04597491718438201	0.12004361023629456	0.13144867298826488	0.05644867298826488	results/claim3_prospective_family_validation_20260825.tsv	5fdf300acf42c65fa520bd3c089b5c02a45d844bc73ba3e15e94d1b3c4fbf713
Figure_3B	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	prospective_fifth_family_prediction	hyperexponential	Hyperexponential	0.05	320	200	99	2026292901	0.44671347096946395	0.21	0.15928412069979	0.2716461685990246	0.3070395918591999	0.09703959185919989	results/claim3_prospective_family_validation_20260825.tsv	5fdf300acf42c65fa520bd3c089b5c02a45d844bc73ba3e15e94d1b3c4fbf713
Figure_3B	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	prospective_fifth_family_prediction	hyperexponential	Hyperexponential	0.1	320	200	99	2026302901	0.8923264874373419	0.05	0.02738264560076393	0.08957814813877599	0.13093627311875564	0.08093627311875563	results/claim3_prospective_family_validation_20260825.tsv	5fdf300acf42c65fa520bd3c089b5c02a45d844bc73ba3e15e94d1b3c4fbf713
Figure_3B	Fully recomputed studentized permutation; empirical evidence	not direct validation of iid Wald theorem; exact only under declared group invariance	prospective_fifth_family_prediction	hyperexponential	Hyperexponential	0.2	320	200	99	2026312901	1.779514280256556	0.03	0.013820314340111346	0.06389429245451925	0.048853538593705885	0.018853538593705886	results/claim3_prospective_family_validation_20260825.tsv	5fdf300acf42c65fa520bd3c089b5c02a45d844bc73ba3e15e94d1b3c4fbf713
