group	metric	method	correlation_with_rejection_rate	bootstrap_low	bootstrap_high	n_rows
all	matched_extreme_to_mean	pearson	0.5973	0.549	0.6409	486
all	matched_extreme_to_mean	spearman	0.6715	0.6133	0.7233	486
all	background_cv	pearson	-0.5971	-0.6522	-0.5417	486
all	background_cv	spearman	-0.6671	-0.7138	-0.6173	486
all	background_q90_to_mean	pearson	0.2597	0.1657	0.3416	486
all	background_q90_to_mean	spearman	0.2536	0.1644	0.3345	486
all	background_q95_to_mean	pearson	-0.271	-0.3625	-0.1784	486
all	background_q95_to_mean	spearman	-0.2394	-0.3363	-0.1469	486
all	background_topk_to_mean	pearson	-0.6509	-0.6958	-0.6049	486
all	background_topk_to_mean	spearman	-0.6784	-0.723	-0.6288	486
all	background_max_to_mean	pearson	-0.6336	-0.6836	-0.5791	486
all	background_max_to_mean	spearman	-0.6917	-0.7341	-0.6433	486
all	signal_over_q90_noise	pearson	0.6037	0.5571	0.6485	486
all	signal_over_q90_noise	spearman	0.6729	0.6156	0.7248	486
all	signal_over_q95_noise	pearson	0.6626	0.6241	0.6997	486
all	signal_over_q95_noise	spearman	0.7555	0.7099	0.7934	486
all	signal_over_topk_noise	pearson	0.8209	0.7988	0.8447	486
all	signal_over_topk_noise	spearman	0.9399	0.9277	0.9484	486
all	signal_over_max_noise	pearson	0.7602	0.7342	0.787	486
all	signal_over_max_noise	spearman	0.8874	0.8678	0.9023	486
all	mean_corr_from_signal_runs	pearson	0.8507	0.8283	0.8705	486
all	mean_corr_from_signal_runs	spearman	0.8933	0.8698	0.9123	486
all	mean_norm_from_signal_runs	pearson	0.7277	0.6931	0.7632	486
all	mean_norm_from_signal_runs	spearman	0.7797	0.7464	0.8069	486
kind=l2	matched_extreme_to_mean	pearson	0.6567	0.5997	0.7086	243
kind=l2	matched_extreme_to_mean	spearman	0.7245	0.6544	0.7829	243
kind=l2	background_cv	pearson	-0.777	-0.8218	-0.729	243
kind=l2	background_cv	spearman	-0.8199	-0.8499	-0.7812	243
kind=l2	background_q90_to_mean	pearson	0.7653	0.7065	0.8158	243
kind=l2	background_q90_to_mean	spearman	0.8044	0.7512	0.847	243
kind=l2	background_q95_to_mean	pearson	-0.15	-0.2662	-0.022	243
kind=l2	background_q95_to_mean	spearman	-0.196	-0.3328	-0.0579	243
