kind	df_label	n	k_extremes	magnitude	background_repetitions	matched_repetitions	rejection_rate	wilson_low	wilson_high	mean_corr	mean_norm	matched_extreme_to_mean	matched_nonextreme_to_mean	background_cv	background_q95_to_mean	background_top2_to_mean	background_max_to_mean	signal_over_q95_noise	signal_over_top2_noise	signal_over_max_noise
l2	normal	80	2	4.0	1000	600	1.0	0.9924	1.0	0.543	0.9506	2.6383	0.958	0.2966	1.5929	2.0002	2.122	1.6563	1.3191	1.2433
l2	normal	80	2	6.0	1000	600	1.0	0.9924	1.0	0.7923	0.9685	3.4176	0.938	0.2966	1.5929	2.0002	2.122	2.1455	1.7086	1.6105
l2	normal	80	2	8.0	1000	600	1.0	0.9924	1.0	0.8977	0.9804	3.9697	0.9239	0.2966	1.5929	2.0002	2.122	2.4921	1.9847	1.8707
l2	t5	80	2	4.0	1000	600	0.738	0.6977	0.7746	0.2945	0.9188	2.2403	0.9682	0.3555	1.6513	2.4546	2.7711	1.3568	0.9127	0.8085
l2	t5	80	2	6.0	1000	600	0.996	0.9855	0.9989	0.573	0.9397	2.9843	0.9491	0.3555	1.6513	2.4546	2.7711	1.8073	1.2158	1.0769
l2	t5	80	2	8.0	1000	600	1.0	0.9924	1.0	0.7479	0.9584	3.5422	0.9348	0.3555	1.6513	2.4546	2.7711	2.1451	1.4431	1.2782
l2	t4	80	2	4.0	1000	600	0.53	0.4862	0.5734	0.2434	0.9094	2.1384	0.9708	0.3745	1.6578	2.5953	2.9802	1.2899	0.824	0.7175
l2	t4	80	2	6.0	1000	600	0.946	0.9226	0.9626	0.4934	0.9281	2.8299	0.9531	0.3745	1.6578	2.5953	2.9802	1.707	1.0904	0.9495
l2	t4	80	2	8.0	1000	600	0.992	0.9796	0.9969	0.6769	0.9473	3.3884	0.9388	0.3745	1.6578	2.5953	2.9802	2.0439	1.3056	1.1369
l2	t3	80	2	4.0	1000	600	0.258	0.2216	0.2981	0.1469	0.8882	1.9415	0.9759	0.4162	1.6566	2.8836	3.4181	1.172	0.6733	0.568
l2	t3	80	2	6.0	1000	600	0.78	0.7416	0.8141	0.3605	0.9058	2.5855	0.9593	0.4162	1.6566	2.8836	3.4181	1.5608	0.8966	0.7564
l2	t3	80	2	8.0	1000	600	0.95	0.9272	0.9659	0.5416	0.9237	3.1299	0.9454	0.4162	1.6566	2.8836	3.4181	1.8894	1.0854	0.9157
l2	t2.5	80	2	4.0	1000	600	0.126	0.0997	0.158	0.0931	0.869	1.7812	0.98	0.4432	1.6537	3.0785	3.6869	1.0771	0.5786	0.4831
l2	t2.5	80	2	6.0	1000	600	0.554	0.5102	0.597	0.2687	0.887	2.3808	0.9646	0.4432	1.6537	3.0785	3.6869	1.4397	0.7733	0.6457
l2	t2.5	80	2	8.0	1000	600	0.84	0.8053	0.8695	0.4312	0.9036	2.88	0.9518	0.4432	1.6537	3.0785	3.6869	1.7416	0.9355	0.7812
l2	t2.2	80	2	4.0	1000	600	0.112	0.0873	0.1427	0.0695	0.8534	1.6554	0.9832	0.4732	1.6269	3.2748	4.0386	1.0175	0.5055	0.4099
l2	t2.2	80	2	6.0	1000	600	0.334	0.2941	0.3765	0.1841	0.8656	2.199	0.9693	0.4732	1.6269	3.2748	4.0386	1.3517	0.6715	0.5445
l2	t2.2	80	2	8.0	1000	600	0.704	0.6626	0.7423	0.3424	0.8874	2.6854	0.9568	0.4732	1.6269	3.2748	4.0386	1.6506	0.82	0.6649
l2	t2	80	2	4.0	1000	600	0.07	0.0508	0.0958	0.0424	0.8395	1.562	0.9856	0.4838	1.6328	3.3477	4.115	0.9566	0.4666	0.3796
l2	t2	80	2	6.0	1000	600	0.24	0.2046	0.2793	0.1451	0.8542	2.0545	0.973	0.4838	1.6328	3.3477	4.115	1.2583	0.6137	0.4993
l2	t2	80	2	8.0	1000	600	0.56	0.5162	0.6029	0.2728	0.8717	2.5234	0.9609	0.4838	1.6328	3.3477	4.115	1.5455	0.7538	0.6132
l1	normal	80	2	4.0	1000	600	1.0	0.9924	1.0	0.551	0.9252	3.1152	0.9458	0.3544	1.7192	2.2367	2.3914	1.812	1.3928	1.3027
l1	normal	80	2	6.0	1000	600	1.0	0.9924	1.0	0.7806	0.9435	4.3467	0.9142	0.3544	1.7192	2.2367	2.3914	2.5283	1.9434	1.8176
l1	normal	80	2	8.0	1000	600	1.0	0.9924	1.0	0.8762	0.9571	5.4038	0.8871	0.3544	1.7192	2.2367	2.3914	3.1431	2.416	2.2597
l1	t5	80	2	4.0	1000	600	0.74	0.6998	0.7765	0.3077	0.8739	2.6438	0.9579	0.4571	1.8365	2.903	3.2814	1.4396	0.9107	0.8057
l1	t5	80	2	6.0	1000	600	0.996	0.9855	0.9989	0.5617	0.8944	3.713	0.9304	0.4571	1.8365	2.903	3.2814	2.0217	1.279	1.1315
l1	t5	80	2	8.0	1000	600	1.0	0.9924	1.0	0.7191	0.9157	4.653	0.9063	0.4571	1.8365	2.903	3.2814	2.5336	1.6028	1.418
l1	t4	80	2	4.0	1000	600	0.59	0.5464	0.6323	0.2535	0.8548	2.5233	0.9609	0.4987	1.8789	3.1378	3.6337	1.343	0.8041	0.6944
l1	t4	80	2	6.0	1000	600	0.972	0.9536	0.9832	0.4796	0.873	3.5193	0.9354	0.4987	1.8789	3.1378	3.6337	1.8731	1.1216	0.9685
l1	t4	80	2	8.0	1000	600	1.0	0.9924	1.0	0.6487	0.8954	4.4278	0.9121	0.4987	1.8789	3.1378	3.6337	2.3567	1.4111	1.2186
l1	t3	80	2	4.0	1000	600	0.268	0.2311	0.3085	0.1529	0.8063	2.2923	0.9669	0.5826	1.9262	3.6531	4.3766	1.1901	0.6275	0.5238
l1	t3	80	2	6.0	1000	600	0.826	0.7903	0.8567	0.3696	0.8362	3.2517	0.9423	0.5826	1.9262	3.6531	4.3766	1.6881	0.8901	0.743
l1	t3	80	2	8.0	1000	600	0.974	0.956	0.9847	0.5384	0.8604	4.0927	0.9207	0.5826	1.9262	3.6531	4.3766	2.1247	1.1203	0.9351
l1	t2.5	80	2	4.0	1000	600	0.144	0.1159	0.1775	0.0994	0.7622	2.1313	0.971	0.6435	1.9585	3.9968	4.8701	1.0882	0.5332	0.4376
l1	t2.5	80	2	6.0	1000	600	0.588	0.5443	0.6303	0.2548	0.7845	2.9827	0.9492	0.6435	1.9585	3.9968	4.8701	1.5229	0.7463	0.6125
l1	t2.5	80	2	8.0	1000	600	0.834	0.7989	0.864	0.4181	0.8137	3.7985	0.9282	0.6435	1.9585	3.9968	4.8701	1.9395	0.9504	0.78
l1	t2.2	80	2	4.0	1000	600	0.078	0.0576	0.1049	0.0742	0.7312	2.0011	0.9743	0.7441	1.9753	4.5747	5.7786	1.0131	0.4374	0.3463
l1	t2.2	80	2	6.0	1000	600	0.378	0.3366	0.4213	0.2082	0.7588	2.8064	0.9537	0.7441	1.9753	4.5747	5.7786	1.4208	0.6135	0.4857
