kind	metric	correlation_with_rejection_rate	n_rows
l2	matched_extreme_to_mean	0.8965	21
l2	background_cv	-0.7399	21
l2	background_q95_to_mean	-0.1199	21
l2	background_top2_to_mean	-0.7354	21
l2	background_max_to_mean	-0.7375	21
l2	signal_over_q95_noise	0.8875	21
l2	signal_over_top2_noise	0.8462	21
l2	signal_over_max_noise	0.8206	21
l2	mean_corr	0.9119	21
l2	mean_norm	0.9055	21
l1	matched_extreme_to_mean	0.8444	21
l1	background_cv	-0.7501	21
l1	background_q95_to_mean	-0.7	21
l1	background_top2_to_mean	-0.7482	21
l1	background_max_to_mean	-0.7497	21
l1	signal_over_q95_noise	0.8498	21
l1	signal_over_top2_noise	0.8038	21
l1	signal_over_max_noise	0.7817	21
l1	mean_corr	0.9047	21
l1	mean_norm	0.8671	21
