phase	node_strength	dyad_strength	raw_strength_ratio	fisher_z_strength_ratio	bracket_low	bracket_high	crossover_estimate	zero_difference_band_low	zero_difference_band_high	grid_points	repetitions_per_point	n_perm
final_combined	0.35	0.45	0.7777777777777777	0.7539582096619015	0.125	0.15	0.15	0.125	0.2	7	800	199
final_combined	0.35	0.65	0.5384615384615384	0.4713586535697024	0.15	0.175	0.16999999999999998	0.125	0.175	8	1200	199
final_combined	0.35	0.8	0.43749999999999994	0.3326412402636036	0.125	0.15	0.14807692307692308	0.1	0.15	7	800	199
final_combined	0.55	0.45	1.2222222222222223	1.275801440362639	0.225	0.25	0.22833333333333333	0.2	0.325	7	800	199
final_combined	0.55	0.65	0.8461538461538461	0.7976039539662141	0.225	0.25	0.234375	0.175	0.25	7	800	199
final_combined	0.55	0.8	0.6875	0.5628749286285075	0.2	0.225	0.21071428571428572	0.175	0.225	7	800	199
final_combined	0.75	0.45	1.6666666666666665	2.007333433663095	0.3	0.325	0.3038461538461538	0.275	0.35	9	800	199
final_combined	0.75	0.65	1.1538461538461537	1.2549422135494461	0.25	0.275	0.25333333333333335	0.225	0.3	7	800	199
final_combined	0.75	0.8	0.9375	0.8856218745807111	0.275	0.3	0.27954545454545454	0.25	0.3	7	800	199
external_combined	0.35	0.3	1.1666666666666667	1.1806804780985247	0.2	0.25	0.225	0.075	0.25	9	1600	199
external_combined	0.55	0.3	1.8333333333333335	1.9978744647420517	0.275	0.3	0.2892857142857143	0.25	0.35	7	800	199
external_combined	0.65	0.3	2.166666666666667	2.5048452365454046	0.35	0.375	0.36166666666666664	0.275	0.4	11	800	199
external_combined	0.65	0.45	1.4444444444444444	1.5995425223489814	0.3	0.325	0.30357142857142855	0.275	0.35	7	800	199
external_combined	0.65	0.65	1.0	1.0	0.25	0.275	0.25833333333333336	0.25	0.275	7	800	199
external_combined	0.65	0.8	0.8125	0.7057072947413578	0.225	0.25	0.242	0.225	0.25	7	800	199
external_combined	0.75	0.3	2.5	3.143436025749076	0.35	0.375	0.37083333333333335	0.375	0.45	9	800	199
