phase	node_strength	dyad_strength	raw_strength_ratio	fisher_z_strength_ratio	dyadic_weight	node_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
external_combined	0.35	0.3	1.1666666666666667	1.1806804780985247	0.0	1.0	1600	199	0.56125	0.461875	0.099375	0.010142807979324113	0.07949509636052474	0.11925490363947527	219	60	679	642	0.0
external_combined	0.35	0.3	1.1666666666666667	1.1806804780985247	0.05	0.95	2400	199	0.43083333333333335	0.3875	0.043333333333333335	0.008010923023265386	0.02763192420773318	0.05903474245893349	239	135	795	1231	0.0
external_combined	0.35	0.3	1.1666666666666667	1.1806804780985247	0.075	0.925	800	199	0.3475	0.34125	0.00625	0.013527468809444288	-0.020263838866510807	0.032763838866510804	61	56	217	466	0.0
external_combined	0.35	0.3	1.1666666666666667	1.1806804780985247	0.1	0.9	2400	199	0.3425	0.3145833333333333	0.027916666666666666	0.007560712344086119	0.013097670472257874	0.042735662861075455	199	132	623	1446	0.0
external_combined	0.35	0.3	1.1666666666666667	1.1806804780985247	0.125	0.875	2400	199	0.3016666666666667	0.2783333333333333	0.023333333333333334	0.007250712466529712	0.009121936898935099	0.03754472976773157	180	124	544	1552	0.0
external_combined	0.35	0.3	1.1666666666666667	1.1806804780985247	0.15	0.85	2400	199	0.27	0.25125	0.01875	0.006875248678665906	0.005274512589814824	0.032225487410185175	159	114	489	1638	0.0
external_combined	0.35	0.3	1.1666666666666667	1.1806804780985247	0.175	0.825	2400	199	0.24583333333333332	0.22875	0.017083333333333332	0.006952412523785152	0.0034566047867144335	0.030710061879952233	160	119	430	1691	0.0
external_combined	0.35	0.3	1.1666666666666667	1.1806804780985247	0.2	0.8	2400	199	0.215	0.205	0.01	0.006533333900463036	-0.0028053344449075514	0.022805334444907552	135	111	381	1773	0.0
external_combined	0.35	0.3	1.1666666666666667	1.1806804780985247	0.25	0.75	1600	199	0.175	0.185	-0.01	0.007498175721431742	-0.024696424414006213	0.004696424414006214	64	80	216	1240	0.0
external_combined	0.55	0.3	1.8333333333333335	1.9978744647420517	0.2	0.8	800	199	0.36125	0.31	0.05125	0.013171794376008716	0.025433283023022914	0.07706671697697708	77	36	212	475	0.0
external_combined	0.55	0.3	1.8333333333333335	1.9978744647420517	0.225	0.775	800	199	0.32	0.2875	0.0325	0.013305110670808156	0.0064219830852160174	0.05857801691478398	70	44	186	500	0.0
external_combined	0.55	0.3	1.8333333333333335	1.9978744647420517	0.25	0.75	800	199	0.28625	0.2675	0.01875	0.012300901881930695	-0.005359767688584163	0.04285976768858416	56	41	173	530	0.0
external_combined	0.55	0.3	1.8333333333333335	1.9978744647420517	0.275	0.725	800	199	0.25625	0.24625	0.01	0.011593878666268688	-0.012724002185886629	0.03272400218588663	47	39	158	556	0.0
external_combined	0.55	0.3	1.8333333333333335	1.9978744647420517	0.3	0.7	800	199	0.22	0.2275	-0.0075	0.011323204325421495	-0.02969348047782613	0.014693480477826131	38	44	138	580	0.0
external_combined	0.55	0.3	1.8333333333333335	1.9978744647420517	0.325	0.675	800	199	0.2025	0.21	-0.0075	0.011596239841995825	-0.030228630090311816	0.015228630090311817	40	46	122	592	0.0
