phase	node_strength	dyad_strength	raw_strength_ratio	fisher_z_strength_ratio	dyadic_weight	node_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
external_refined	0.35	0.3	1.1666666666666667	1.1806804780985247	0.05	0.95	400	199	0.415	0.3925	0.0225	0.020149426131619328	-0.016992875217973887	0.061992875217973885	37	28	129	206	0.0
external_refined	0.35	0.3	1.1666666666666667	1.1806804780985247	0.075	0.925	400	199	0.3625	0.345	0.0175	0.01920694253659364	-0.02014560737172353	0.05514560737172353	33	26	112	229	0.0
external_refined	0.35	0.3	1.1666666666666667	1.1806804780985247	0.1	0.9	400	199	0.31	0.3075	0.0025	0.018897809211187847	-0.03453970605392818	0.03953970605392818	29	28	95	248	0.0
external_refined	0.35	0.3	1.1666666666666667	1.1806804780985247	0.125	0.875	400	199	0.2925	0.2725	0.02	0.018366909331621092	-0.015999142289977338	0.055999142289977336	31	23	86	260	0.0
external_refined	0.35	0.3	1.1666666666666667	1.1806804780985247	0.15	0.85	400	199	0.2675	0.2425	0.025	0.016930863396127968	-0.008184492256410818	0.05818449225641082	28	18	79	275	0.0
external_refined	0.35	0.3	1.1666666666666667	1.1806804780985247	0.175	0.825	400	199	0.235	0.225	0.01	0.01733497196804287	-0.023976545057364018	0.04397654505736402	26	22	68	284	0.0
external_refined	0.35	0.3	1.1666666666666667	1.1806804780985247	0.2	0.8	400	199	0.2075	0.195	0.0125	0.015619516581687604	-0.018114252500107703	0.043114252500107704	22	17	61	300	0.0
external_refined	0.55	0.3	1.8333333333333335	1.9978744647420517	0.2	0.8	400	199	0.3775	0.345	0.0325	0.020115191456168042	-0.006925775254089363	0.07192577525408936	39	26	112	223	0.0
external_refined	0.55	0.3	1.8333333333333335	1.9978744647420517	0.225	0.775	400	199	0.3425	0.3225	0.02	0.020310867246890317	-0.019809299803905018	0.05980929980390502	37	29	100	234	0.0
external_refined	0.55	0.3	1.8333333333333335	1.9978744647420517	0.25	0.75	400	199	0.3	0.295	0.005	0.01804859772113191	-0.03037525153341854	0.04037525153341854	27	25	93	255	0.0
external_refined	0.55	0.3	1.8333333333333335	1.9978744647420517	0.275	0.725	400	199	0.2775	0.27	0.0075	0.017517892750443482	-0.026835069790869227	0.04183506979086923	26	23	85	266	0.0
external_refined	0.55	0.3	1.8333333333333335	1.9978744647420517	0.3	0.7	400	199	0.24	0.25	-0.01	0.016969676626619322	-0.04326056618817387	0.02326056618817387	21	25	75	279	0.0
external_refined	0.55	0.3	1.8333333333333335	1.9978744647420517	0.325	0.675	400	199	0.21	0.2325	-0.0225	0.016753688854266213	-0.055337230154361775	0.010337230154361776	18	27	66	289	0.0
