phase	node_strength	dyad_strength	raw_strength_ratio	fisher_z_strength_ratio	dyadic_weight	node_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
external_replication	0.35	0.3	1.1666666666666667	1.1806804780985247	0.05	0.95	400	199	0.37	0.3925	-0.0225	0.020149426131619328	-0.061992875217973885	0.016992875217973887	28	37	120	215	0.0
external_replication	0.35	0.3	1.1666666666666667	1.1806804780985247	0.075	0.925	400	199	0.3325	0.3375	-0.005	0.01906163331568557	-0.042360801298743714	0.03236080129874372	28	30	105	237	0.0
external_replication	0.35	0.3	1.1666666666666667	1.1806804780985247	0.1	0.9	400	199	0.31	0.3175	-0.0075	0.019546471199192252	-0.04581108355041681	0.030811083550416812	29	32	95	244	0.0
external_replication	0.35	0.3	1.1666666666666667	1.1806804780985247	0.125	0.875	400	199	0.2625	0.2725	-0.01	0.019703313208149692	-0.048618493887973395	0.02861849388797339	29	33	76	262	0.0
external_replication	0.35	0.3	1.1666666666666667	1.1806804780985247	0.15	0.85	400	199	0.25	0.2275	0.0225	0.017840405690117307	-0.012467195152629923	0.05746719515262992	30	21	70	279	0.0
external_replication	0.35	0.3	1.1666666666666667	1.1806804780985247	0.175	0.825	400	199	0.23	0.2075	0.0225	0.017123592454457853	-0.011062241210737393	0.05606224121073739	28	19	64	289	0.0
external_replication	0.35	0.3	1.1666666666666667	1.1806804780985247	0.2	0.8	400	199	0.21	0.1925	0.0175	0.015200724656252015	-0.012293420326253947	0.04729342032625395	22	15	62	301	0.0
external_replication	0.55	0.3	1.8333333333333335	1.9978744647420517	0.2	0.8	400	199	0.345	0.275	0.07	0.016984439288503524	0.0367104989945331	0.10328950100546691	38	10	100	252	0.0
external_replication	0.55	0.3	1.8333333333333335	1.9978744647420517	0.225	0.775	400	199	0.2975	0.2525	0.045	0.017195252011218774	0.0112973060580112	0.0787026939419888	33	15	86	266	0.0
external_replication	0.55	0.3	1.8333333333333335	1.9978744647420517	0.25	0.75	400	199	0.2725	0.24	0.0325	0.01671249963680705	-0.0002564992881418163	0.06525649928814181	29	16	80	275	0.0
