phase	node_strength	dyad_strength	raw_strength_ratio	fisher_z_strength_ratio	dyadic_weight	node_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
coarse	0.35	0.45	0.7777777777777777	0.7539582096619015	0.0	1.0	300	199	0.54	0.47	0.07	0.02396811334000139	0.02302249785359728	0.11697750214640273	37	16	125	122	0.0
coarse	0.35	0.45	0.7777777777777777	0.7539582096619015	0.05	0.95	300	199	0.4766666666666667	0.4166666666666667	0.06	0.024743950760127635	0.011501856510149837	0.10849814348985015	37	19	106	138	0.0
coarse	0.35	0.45	0.7777777777777777	0.7539582096619015	0.1	0.9	300	199	0.42333333333333334	0.36666666666666664	0.056666666666666664	0.024994239395766227	0.007677957450964862	0.10565537588236847	37	20	90	153	0.0
coarse	0.35	0.45	0.7777777777777777	0.7539582096619015	0.15	0.85	300	199	0.3233333333333333	0.3333333333333333	-0.01	0.02288305785243342	-0.05485079339076951	0.034850793390769505	22	25	75	178	0.0
coarse	0.35	0.45	0.7777777777777777	0.7539582096619015	0.2	0.8	300	199	0.25666666666666665	0.3	-0.043333333333333335	0.02175075868861328	-0.08596482036301537	-0.0007018463036513045	15	28	62	195	0.0
coarse	0.35	0.45	0.7777777777777777	0.7539582096619015	0.25	0.75	300	199	0.23333333333333334	0.26	-0.02666666666666667	0.021060688086646583	-0.06794561531649397	0.014612281983160638	16	24	54	206	0.0
coarse	0.35	0.45	0.7777777777777777	0.7539582096619015	0.3	0.7	300	199	0.2	0.24666666666666667	-0.04666666666666667	0.020943909448695792	-0.08771672918611043	-0.005616604147222919	13	27	47	213	0.0
coarse	0.35	0.45	0.7777777777777777	0.7539582096619015	0.4	0.6	300	199	0.15	0.23666666666666666	-0.08666666666666667	0.01996280450565388	-0.1257937634977483	-0.04753956983558506	6	32	39	223	0.0
coarse	0.35	0.45	0.7777777777777777	0.7539582096619015	0.5	0.5	300	199	0.13	0.23333333333333334	-0.10333333333333333	0.021063334622115175	-0.14461746919267907	-0.06204919747398759	6	37	33	224	0.0
coarse	0.35	0.45	0.7777777777777777	0.7539582096619015	0.65	0.35	300	199	0.13666666666666666	0.27	-0.13333333333333333	0.021292324017324043	-0.17506628840728844	-0.09160037825937821	3	43	38	216	0.0
coarse	0.35	0.45	0.7777777777777777	0.7539582096619015	0.8	0.19999999999999996	300	199	0.16666666666666666	0.32	-0.15333333333333332	0.021881067667263936	-0.19622022596117064	-0.110446440705496	2	48	48	202	0.0
coarse	0.35	0.45	0.7777777777777777	0.7539582096619015	1.0	0.0	300	199	0.22666666666666666	0.4766666666666667	-0.25	0.02591685530836435	-0.30079703640439415	-0.19920296359560588	2	77	66	155	0.0
coarse	0.35	0.65	0.5384615384615384	0.4713586535697024	0.0	1.0	300	199	0.5466666666666666	0.4633333333333333	0.08333333333333333	0.0223772924665725	0.03947384009885123	0.12719282656781544	36	11	128	125	0.0
coarse	0.35	0.65	0.5384615384615384	0.4713586535697024	0.05	0.95	300	199	0.45	0.38333333333333336	0.06666666666666667	0.025574048533225716	0.016541531541544266	0.11679180179178907	40	20	95	145	0.0
coarse	0.35	0.65	0.5384615384615384	0.4713586535697024	0.1	0.9	300	199	0.3566666666666667	0.3233333333333333	0.03333333333333333	0.023530777934850543	-0.012786991418973728	0.0794536580856404	30	20	77	173	0.0
coarse	0.35	0.65	0.5384615384615384	0.4713586535697024	0.15	0.85	300	199	0.2733333333333333	0.27	0.0033333333333333335	0.020850550299426777	-0.03753374525354315	0.04420041192020982	20	19	62	199	0.0
coarse	0.35	0.65	0.5384615384615384	0.4713586535697024	0.2	0.8	300	199	0.24	0.23333333333333334	0.006666666666666667	0.02002970666323488	-0.0325915583932737	0.045924891726607034	19	17	53	211	0.0
coarse	0.35	0.65	0.5384615384615384	0.4713586535697024	0.25	0.75	300	199	0.19333333333333333	0.20666666666666667	-0.013333333333333334	0.019453705921979186	-0.05146259694041254	0.024795930273745867	15	19	43	223	0.0
coarse	0.35	0.65	0.5384615384615384	0.4713586535697024	0.3	0.7	300	199	0.17666666666666667	0.19333333333333333	-0.016666666666666666	0.01795468924401441	-0.05185785758493491	0.018524524251601577	12	17	41	230	0.0
coarse	0.35	0.65	0.5384615384615384	0.4713586535697024	0.4	0.6	300	199	0.15	0.21666666666666667	-0.06666666666666667	0.019083419135889047	-0.1040701681730092	-0.029263165160324137	7	27	38	228	0.0
coarse	0.35	0.65	0.5384615384615384	0.4713586535697024	0.5	0.5	300	199	0.16	0.26	-0.1	0.020309752944336314	-0.1398071157708992	-0.06019288422910083	5	35	43	217	0.0
coarse	0.35	0.65	0.5384615384615384	0.4713586535697024	0.65	0.35	300	199	0.20666666666666667	0.36333333333333334	-0.15666666666666668	0.02304488051657113	-0.2018346324791461	-0.11149870085418725	4	51	58	187	0.0
coarse	0.35	0.65	0.5384615384615384	0.4713586535697024	0.8	0.19999999999999996	300	199	0.33666666666666667	0.5966666666666667	-0.26	0.025802612365906665	-0.3105731202371771	-0.20942687976282295	1	79	100	120	0.0
coarse	0.35	0.65	0.5384615384615384	0.4713586535697024	1.0	0.0	300	199	0.65	0.8733333333333333	-0.22333333333333333	0.024544153253620256	-0.27143987371042905	-0.17522679295623764	1	68	194	37	0.0
coarse	0.35	0.8	0.43749999999999994	0.3326412402636036	0.0	1.0	300	199	0.5433333333333333	0.44333333333333336	0.1	0.02337231971529622	0.05419025335801941	0.1458097466419806	41	11	122	126	0.0
coarse	0.35	0.8	0.43749999999999994	0.3326412402636036	0.05	0.95	300	199	0.43	0.37	0.06	0.020830044333467586	0.01917311310640353	0.10082688689359647	29	11	100	160	0.0
coarse	0.35	0.8	0.43749999999999994	0.3326412402636036	0.1	0.9	300	199	0.32666666666666666	0.3433333333333333	-0.016666666666666666	0.020829152311784054	-0.05749180519776341	0.02415847186443008	17	22	81	180	0.0
coarse	0.35	0.8	0.43749999999999994	0.3326412402636036	0.15	0.85	300	199	0.2833333333333333	0.29	-0.006666666666666667	0.021113555766061404	-0.04804923596814702	0.03471590263481368	19	21	66	194	0.0
coarse	0.35	0.8	0.43749999999999994	0.3326412402636036	0.2	0.8	300	199	0.26	0.27	-0.01	0.018581226665438943	-0.04641920426426033	0.026419204264260324	14	17	64	205	0.0
coarse	0.35	0.8	0.43749999999999994	0.3326412402636036	0.25	0.75	300	199	0.24	0.2833333333333333	-0.043333333333333335	0.02015454964575648	-0.08283625063901603	-0.003830416027650635	12	25	60	203	0.0
coarse	0.35	0.8	0.43749999999999994	0.3326412402636036	0.3	0.7	300	199	0.22	0.2866666666666667	-0.06666666666666667	0.020762141460433207	-0.10736046392911575	-0.02597286940421758	10	30	56	204	0.0
coarse	0.35	0.8	0.43749999999999994	0.3326412402636036	0.4	0.6	300	199	0.21333333333333335	0.31333333333333335	-0.1	0.02137940955057755	-0.141903642719132	-0.058096357280868004	7	37	57	199	0.0
coarse	0.35	0.8	0.43749999999999994	0.3326412402636036	0.5	0.5	300	199	0.25666666666666665	0.3933333333333333	-0.13666666666666666	0.020957212519704543	-0.17774280320528757	-0.09559053012804575	2	43	75	180	0.0
coarse	0.35	0.8	0.43749999999999994	0.3326412402636036	0.65	0.35	300	199	0.4033333333333333	0.6233333333333333	-0.22	0.024417403373699166	-0.26785811061245035	-0.17214188938754965	1	67	120	112	0.0
coarse	0.35	0.8	0.43749999999999994	0.3326412402636036	0.8	0.19999999999999996	300	199	0.6133333333333333	0.8733333333333333	-0.26	0.025366873297069253	-0.30971907166225576	-0.21028092833774428	0	78	184	38	0.0
coarse	0.35	0.8	0.43749999999999994	0.3326412402636036	1.0	0.0	300	199	0.9433333333333334	0.9966666666666667	-0.05333333333333334	0.012994581954164896	-0.07880271396349653	-0.02786395270317014	0	16	283	1	0.0
coarse	0.55	0.45	1.2222222222222223	1.275801440362639	0.0	1.0	300	199	0.8533333333333334	0.7	0.15333333333333332	0.02335959662251055	0.10754852395321265	0.199118142713454	51	5	205	39	0.0
coarse	0.55	0.45	1.2222222222222223	1.275801440362639	0.05	0.95	300	199	0.7666666666666667	0.6233333333333333	0.14333333333333334	0.023806322447621323	0.09667294133599555	0.18999372533067113	50	7	180	63	0.0
coarse	0.55	0.45	1.2222222222222223	1.275801440362639	0.1	0.9	300	199	0.6066666666666667	0.52	0.08666666666666667	0.023071472166834122	0.04144658121967179	0.13188675211366155	38	12	144	106	0.0
coarse	0.55	0.45	1.2222222222222223	1.275801440362639	0.15	0.85	300	199	0.5066666666666667	0.44333333333333336	0.06333333333333334	0.02356155312328897	0.01715268921168696	0.10951397745497972	35	16	117	132	0.0
coarse	0.55	0.45	1.2222222222222223	1.275801440362639	0.2	0.8	300	199	0.41	0.37	0.04	0.022527080198107136	-0.004153077188289986	0.08415307718828999	29	17	94	160	0.0
coarse	0.55	0.45	1.2222222222222223	1.275801440362639	0.25	0.75	300	199	0.33666666666666667	0.31	0.02666666666666667	0.019973970426824722	-0.012482315369909788	0.06581564870324312	22	14	79	185	0.0
coarse	0.55	0.45	1.2222222222222223	1.275801440362639	0.3	0.7	300	199	0.25666666666666665	0.2833333333333333	-0.02666666666666667	0.019407806433906796	-0.064705967277124	0.011372633943790653	13	21	64	202	0.0
coarse	0.55	0.45	1.2222222222222223	1.275801440362639	0.4	0.6	300	199	0.21	0.25333333333333335	-0.043333333333333335	0.019016119040222528	-0.08060492665216949	-0.006061740014497177	10	23	53	214	0.0
coarse	0.55	0.45	1.2222222222222223	1.275801440362639	0.5	0.5	300	199	0.16666666666666666	0.24	-0.07333333333333333	0.01957937470366958	-0.1117089077525257	-0.034957758914140956	7	29	43	221	0.0
coarse	0.55	0.45	1.2222222222222223	1.275801440362639	0.65	0.35	300	199	0.13666666666666666	0.24333333333333335	-0.10666666666666667	0.020740652262202668	-0.1473183451005839	-0.06601498823274946	5	37	36	222	0.0
coarse	0.55	0.45	1.2222222222222223	1.275801440362639	0.8	0.19999999999999996	300	199	0.15333333333333332	0.2966666666666667	-0.14333333333333334	0.02185302753252787	-0.18616526729708796	-0.10050139936957872	3	46	43	208	0.0
coarse	0.55	0.45	1.2222222222222223	1.275801440362639	1.0	0.0	300	199	0.23333333333333334	0.39666666666666667	-0.16333333333333333	0.021893801311336388	-0.20624518390355265	-0.12042148276311401	1	50	69	180	0.0
coarse	0.55	0.65	0.8461538461538461	0.7976039539662141	0.0	1.0	300	199	0.8666666666666667	0.69	0.17666666666666667	0.025348554952924082	0.12698349895893546	0.22634983437439787	60	7	200	33	0.0
coarse	0.55	0.65	0.8461538461538461	0.7976039539662141	0.05	0.95	300	199	0.7566666666666667	0.6033333333333334	0.15333333333333332	0.023832064501466944	0.10662248691045811	0.20004417975620853	52	6	175	67	0.0
coarse	0.55	0.65	0.8461538461538461	0.7976039539662141	0.1	0.9	300	199	0.5833333333333334	0.52	0.06333333333333334	0.02259543532464509	0.019046280097028967	0.10762038656963771	33	14	142	111	0.0
coarse	0.55	0.65	0.8461538461538461	0.7976039539662141	0.15	0.85	300	199	0.47	0.45666666666666667	0.013333333333333334	0.024064820182580177	-0.03383371422452381	0.06050038089119048	28	24	113	135	0.0
coarse	0.55	0.65	0.8461538461538461	0.7976039539662141	0.2	0.8	300	199	0.38666666666666666	0.38666666666666666	0.0	0.022645540682891915	-0.04438525973846815	0.04438525973846815	23	23	93	161	0.0
coarse	0.55	0.65	0.8461538461538461	0.7976039539662141	0.25	0.75	300	199	0.31666666666666665	0.3566666666666667	-0.04	0.020989990713312087	-0.08114038179809169	0.0011403817980916858	14	26	81	179	0.0
coarse	0.55	0.65	0.8461538461538461	0.7976039539662141	0.3	0.7	300	199	0.2733333333333333	0.34	-0.06666666666666667	0.020218060589170396	-0.10629406542144064	-0.027039267911892692	9	29	73	189	0.0
coarse	0.55	0.65	0.8461538461538461	0.7976039539662141	0.4	0.6	300	199	0.21	0.32	-0.11	0.01985735081200166	-0.14892040759152325	-0.07107959240847675	3	36	60	201	0.0
coarse	0.55	0.65	0.8461538461538461	0.7976039539662141	0.5	0.5	300	199	0.21666666666666667	0.3466666666666667	-0.13	0.020563413083351852	-0.17030428964336963	-0.08969571035663038	2	41	63	194	0.0
coarse	0.55	0.65	0.8461538461538461	0.7976039539662141	0.65	0.35	300	199	0.27666666666666667	0.4266666666666667	-0.15	0.02221060640300705	-0.1935327885498938	-0.10646721145010618	3	48	80	169	0.0
coarse	0.55	0.65	0.8461538461538461	0.7976039539662141	0.8	0.19999999999999996	300	199	0.3566666666666667	0.58	-0.22333333333333333	0.024544153253620256	-0.27143987371042905	-0.17522679295623764	1	68	106	125	0.0
coarse	0.55	0.65	0.8461538461538461	0.7976039539662141	1.0	0.0	300	199	0.6133333333333333	0.8766666666666667	-0.2633333333333333	0.025905381961420205	-0.3141078819777169	-0.2125587846889497	1	80	183	36	0.0
coarse	0.55	0.8	0.6875	0.5628749286285075	0.0	1.0	300	199	0.8666666666666667	0.68	0.18666666666666668	0.02302310086720367	0.14154138896694748	0.23179194436638587	57	1	203	39	0.0
coarse	0.55	0.8	0.6875	0.5628749286285075	0.05	0.95	300	199	0.77	0.6366666666666667	0.13333333333333333	0.02280904851513402	0.08862759824367065	0.178039068422996	46	6	185	63	0.0
coarse	0.55	0.8	0.6875	0.5628749286285075	0.1	0.9	300	199	0.6433333333333333	0.5433333333333333	0.1	0.02337231971529622	0.05419025335801941	0.1458097466419806	41	11	152	96	0.0
coarse	0.55	0.8	0.6875	0.5628749286285075	0.15	0.85	300	199	0.5066666666666667	0.45666666666666667	0.05	0.024134979033179113	0.0026954410949689422	0.09730455890503106	34	19	118	129	0.0
coarse	0.55	0.8	0.6875	0.5628749286285075	0.2	0.8	300	199	0.41	0.42333333333333334	-0.013333333333333334	0.02056793042992408	-0.053646476975984535	0.026979810309317863	17	21	106	156	0.0
coarse	0.55	0.8	0.6875	0.5628749286285075	0.25	0.75	300	199	0.36666666666666664	0.38	-0.013333333333333334	0.020018571830540823	-0.05256973412119335	0.025903067454526675	16	20	94	170	0.0
coarse	0.55	0.8	0.6875	0.5628749286285075	0.3	0.7	300	199	0.3333333333333333	0.37333333333333335	-0.04	0.018141030565173386	-0.07555641990773984	-0.004443580092260167	9	21	91	179	0.0
coarse	0.55	0.8	0.6875	0.5628749286285075	0.4	0.6	300	199	0.27666666666666667	0.39	-0.11333333333333333	0.02007418423094921	-0.15267873442599378	-0.07398793224067288	3	37	80	180	0.0
coarse	0.55	0.8	0.6875	0.5628749286285075	0.5	0.5	300	199	0.25666666666666665	0.4533333333333333	-0.19666666666666666	0.02298675559401019	-0.24172070763092662	-0.1516126257024067	0	59	77	164	0.0
coarse	0.55	0.8	0.6875	0.5628749286285075	0.65	0.35	300	199	0.35333333333333333	0.6666666666666666	-0.31333333333333335	0.027237480461311796	-0.3667187950375045	-0.2599478716291622	1	95	105	99	0.0
coarse	0.55	0.8	0.6875	0.5628749286285075	0.8	0.19999999999999996	300	199	0.64	0.8866666666666667	-0.24666666666666667	0.024929480622100805	-0.29552844868598427	-0.1978048846473491	0	74	192	34	0.0
coarse	0.55	0.8	0.6875	0.5628749286285075	1.0	0.0	300	199	0.9366666666666666	0.9966666666666667	-0.06	0.01373421867241839	-0.08691906859794005	-0.033080931402059956	0	18	281	1	0.0
coarse	0.75	0.45	1.6666666666666665	2.007333433663095	0.0	1.0	300	199	0.99	0.9433333333333334	0.04666666666666667	0.012198043717391773	0.022758500980578793	0.07057483235275455	14	0	283	3	0.0
coarse	0.75	0.45	1.6666666666666665	2.007333433663095	0.05	0.95	300	199	0.96	0.86	0.1	0.017980541941701306	0.06475813779426545	0.13524186220573456	31	1	257	11	0.0
coarse	0.75	0.45	1.6666666666666665	2.007333433663095	0.1	0.9	300	199	0.8533333333333334	0.73	0.12333333333333334	0.022257404331277274	0.07970882084402989	0.16695784582263679	43	6	213	38	0.0
coarse	0.75	0.45	1.6666666666666665	2.007333433663095	0.15	0.85	300	199	0.7366666666666667	0.6166666666666667	0.12	0.024463017841580843	0.07205248503050155	0.16794751496949845	47	11	174	68	0.0
coarse	0.75	0.45	1.6666666666666665	2.007333433663095	0.2	0.8	300	199	0.5833333333333334	0.5066666666666667	0.07666666666666666	0.023899797013515696	0.0298230645201759	0.12351026881315742	38	15	137	110	0.0
coarse	0.75	0.45	1.6666666666666665	2.007333433663095	0.25	0.75	300	199	0.45666666666666667	0.41333333333333333	0.043333333333333335	0.022257404331277274	-0.0002911791559701213	0.0869578458226368	29	16	108	147	0.0
coarse	0.75	0.45	1.6666666666666665	2.007333433663095	0.3	0.7	300	199	0.37	0.34	0.03	0.019676876967127867	-0.008566678855570622	0.06856667885557062	22	13	89	176	0.0
coarse	0.75	0.45	1.6666666666666665	2.007333433663095	0.4	0.6	300	199	0.26	0.28	-0.02	0.017629912758074046	-0.054554629005825125	0.014554629005825128	11	17	67	205	0.0
coarse	0.75	0.45	1.6666666666666665	2.007333433663095	0.5	0.5	300	199	0.18666666666666668	0.24666666666666667	-0.06	0.017955724066599284	-0.0951932191705346	-0.0248067808294654	6	24	50	220	0.0
coarse	0.75	0.45	1.6666666666666665	2.007333433663095	0.65	0.35	300	199	0.13333333333333333	0.23	-0.09666666666666666	0.018945637969401633	-0.13380011708669387	-0.059533216246639466	3	32	37	228	0.0
coarse	0.75	0.45	1.6666666666666665	2.007333433663095	0.8	0.19999999999999996	300	199	0.13333333333333333	0.27	-0.13666666666666666	0.020418330307848055	-0.17668659407004883	-0.09664673926328447	1	42	39	218	0.0
coarse	0.75	0.45	1.6666666666666665	2.007333433663095	1.0	0.0	300	199	0.22333333333333333	0.39	-0.16666666666666666	0.02305213582693749	-0.21184885288746413	-0.12148448044586918	3	53	64	180	0.0
coarse	0.75	0.65	1.1538461538461537	1.2549422135494461	0.0	1.0	300	199	0.9833333333333333	0.88	0.10333333333333333	0.0176035451312839	0.06883038487601689	0.13783628179064977	31	0	264	5	0.0
coarse	0.75	0.65	1.1538461538461537	1.2549422135494461	0.05	0.95	300	199	0.9133333333333333	0.79	0.12333333333333334	0.02123202674015393	0.08171856092263163	0.16494810574403504	41	4	233	22	0.0
coarse	0.75	0.65	1.1538461538461537	1.2549422135494461	0.1	0.9	300	199	0.78	0.68	0.1	0.023844535493686994	0.0532647104323735	0.14673528956762652	42	12	192	54	0.0
coarse	0.75	0.65	1.1538461538461537	1.2549422135494461	0.15	0.85	300	199	0.6366666666666667	0.5666666666666667	0.07	0.02301906533740681	0.02488263193868266	0.11511736806131735	35	14	156	95	0.0
coarse	0.75	0.65	1.1538461538461537	1.2549422135494461	0.2	0.8	300	199	0.5166666666666667	0.48	0.03666666666666667	0.02074333962942783	-0.0039902790070118765	0.07732361234034521	25	14	130	131	0.0
coarse	0.75	0.65	1.1538461538461537	1.2549422135494461	0.25	0.75	300	199	0.44	0.39	0.05	0.020102857026965085	0.01059840022714844	0.08940159977285156	26	11	106	157	0.0
coarse	0.75	0.65	1.1538461538461537	1.2549422135494461	0.3	0.7	300	199	0.34	0.3433333333333333	-0.0033333333333333335	0.019179567661495985	-0.04092528594986546	0.034258619283198795	16	17	86	181	0.0
coarse	0.75	0.65	1.1538461538461537	1.2549422135494461	0.4	0.6	300	199	0.26	0.33666666666666667	-0.07666666666666666	0.018661051870955965	-0.11324232833374034	-0.04009100499959297	5	28	73	194	0.0
