phase	node_strength	dyad_strength	raw_strength_ratio	fisher_z_strength_ratio	dyadic_weight	node_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
combined	0.35	0.45	0.7777777777777777	0.7539582096619015	0.05	0.95	800	199	0.4375	0.39375	0.04375	0.014557982017626342	0.015216355245452368	0.07228364475454763	86	51	264	399	0.0
combined	0.35	0.45	0.7777777777777777	0.7539582096619015	0.075	0.925	800	199	0.3925	0.3475	0.045	0.01383683752129577	0.01787979845826029	0.0721202015417397	80	44	234	442	0.0
combined	0.35	0.45	0.7777777777777777	0.7539582096619015	0.1	0.9	800	199	0.35875	0.33125	0.0275	0.013894099286882263	0.0002675653977107645	0.054732434602289236	73	51	214	462	0.0
combined	0.35	0.45	0.7777777777777777	0.7539582096619015	0.125	0.875	800	199	0.31	0.295	0.015	0.013576603227390585	-0.011610142325685548	0.04161014232568555	65	53	183	499	0.0
combined	0.35	0.45	0.7777777777777777	0.7539582096619015	0.15	0.85	800	199	0.2625	0.2625	0.0	0.012255110553085003	-0.024020016684046606	0.024020016684046606	48	48	162	542	0.0
combined	0.35	0.45	0.7777777777777777	0.7539582096619015	0.175	0.825	800	199	0.23	0.23875	-0.00875	0.01192768351011196	-0.03212825967981944	0.014628259679819438	42	49	142	567	0.0
combined	0.35	0.45	0.7777777777777777	0.7539582096619015	0.2	0.8	800	199	0.21125	0.22875	-0.0175	0.01211096742274925	-0.04123749614858853	0.006237496148588529	40	54	129	577	0.0
combined	0.35	0.8	0.43749999999999994	0.3326412402636036	0.0	1.0	800	199	0.56875	0.4875	0.08125	0.014245673760869524	0.05332847942869574	0.10917152057130428	100	35	355	310	0.0
combined	0.35	0.8	0.43749999999999994	0.3326412402636036	0.025	0.975	800	199	0.515	0.44375	0.07125	0.014848986914617713	0.04214598564734928	0.1003540143526507	101	44	311	344	0.0
combined	0.35	0.8	0.43749999999999994	0.3326412402636036	0.05	0.95	800	199	0.4525	0.41375	0.03875	0.014139853825544297	0.011035886501933177	0.06646411349806683	80	49	282	389	0.0
combined	0.35	0.8	0.43749999999999994	0.3326412402636036	0.075	0.925	800	199	0.415	0.38	0.035	0.01431694690605817	0.006938784064125989	0.06306121593587402	80	52	252	416	0.0
combined	0.35	0.8	0.43749999999999994	0.3326412402636036	0.1	0.9	800	199	0.37	0.34625	0.02375	0.012789131097059418	-0.001316696950236458	0.04881669695023646	62	43	234	461	0.0
combined	0.35	0.8	0.43749999999999994	0.3326412402636036	0.125	0.875	800	199	0.34	0.325	0.015	0.012243615996339982	-0.008997487352826364	0.03899748735282636	54	42	218	486	0.0
combined	0.35	0.8	0.43749999999999994	0.3326412402636036	0.15	0.85	800	199	0.31125	0.3125	-0.00125	0.011395080372505927	-0.023584357530111618	0.021084357530111616	41	42	208	509	0.0
combined	0.55	0.45	1.2222222222222223	1.275801440362639	0.2	0.8	800	199	0.35875	0.34875	0.01	0.013582363592208047	-0.016621432640727768	0.03662143264072777	63	55	224	458	0.0
combined	0.55	0.45	1.2222222222222223	1.275801440362639	0.225	0.775	800	199	0.3175	0.315	0.0025	0.013586682263107809	-0.024129897235691308	0.029129897235691305	60	58	194	488	0.0
combined	0.55	0.45	1.2222222222222223	1.275801440362639	0.25	0.75	800	199	0.2825	0.29875	-0.01625	0.012431838566264931	-0.040616403589879266	0.008116403589879265	43	56	183	518	0.0
combined	0.55	0.45	1.2222222222222223	1.275801440362639	0.275	0.725	800	199	0.25625	0.28125	-0.025	0.01222315453897252	-0.04895738289638614	-0.0010426171036138632	38	58	167	537	0.0
combined	0.55	0.45	1.2222222222222223	1.275801440362639	0.3	0.7	800	199	0.2325	0.25875	-0.02625	0.011494186237902599	-0.04877860502628909	-0.0037213949737109064	32	53	154	561	0.0
combined	0.55	0.45	1.2222222222222223	1.275801440362639	0.325	0.675	800	199	0.22	0.24125	-0.02125	0.011642271039995199	-0.04406885123839059	0.001568851238390588	35	52	141	572	0.0
combined	0.55	0.45	1.2222222222222223	1.275801440362639	0.35	0.65	800	199	0.19875	0.23125	-0.0325	0.011676905632762712	-0.055386735040214914	-0.009613264959785088	31	57	128	584	0.0
combined	0.55	0.65	0.8461538461538461	0.7976039539662141	0.1	0.9	800	199	0.57875	0.495	0.08375	0.014117154083747913	0.056080377995854094	0.11141962200414592	100	33	363	304	0.0
combined	0.55	0.65	0.8461538461538461	0.7976039539662141	0.125	0.875	800	199	0.5125	0.4525	0.06	0.013065733494131686	0.03439116235150189	0.08560883764849811	80	32	330	358	0.0
combined	0.55	0.65	0.8461538461538461	0.7976039539662141	0.15	0.85	800	199	0.46875	0.43125	0.0375	0.012930629875850317	0.012155965443333378	0.06284403455666662	69	39	306	386	0.0
combined	0.55	0.65	0.8461538461538461	0.7976039539662141	0.175	0.825	800	199	0.4125	0.395	0.0175	0.013103694937928113	-0.0081832420783391	0.0431832420783391	62	48	268	422	0.0
combined	0.55	0.65	0.8461538461538461	0.7976039539662141	0.2	0.8	800	199	0.38125	0.365	0.01625	0.012803801917963393	-0.008845451759208249	0.04134545175920825	59	46	246	449	0.0
combined	0.55	0.65	0.8461538461538461	0.7976039539662141	0.225	0.775	800	199	0.34625	0.3425	0.00375	0.012937509258248246	-0.02160751814616656	0.02910751814616656	55	52	222	471	0.0
combined	0.55	0.65	0.8461538461538461	0.7976039539662141	0.25	0.75	800	199	0.3175	0.32375	-0.00625	0.012814794011491023	-0.0313669962625224	0.018866996262522404	50	55	204	491	0.0
combined	0.55	0.8	0.6875	0.5628749286285075	0.1	0.9	800	199	0.5575	0.48125	0.07625	0.014170247590319787	0.048476314722973216	0.10402368527702678	97	36	349	318	0.0
combined	0.55	0.8	0.6875	0.5628749286285075	0.125	0.875	800	199	0.4975	0.44625	0.05125	0.013523420443830982	0.024744095930091272	0.07775590406990872	80	39	318	363	0.0
combined	0.55	0.8	0.6875	0.5628749286285075	0.15	0.85	800	199	0.44625	0.4025	0.04375	0.013671267363128507	0.016954315968268123	0.07054568403173186	78	43	279	400	0.0
combined	0.55	0.8	0.6875	0.5628749286285075	0.175	0.825	800	199	0.41	0.38875	0.02125	0.012916330220226929	-0.00406600723164478	0.04656600723164478	62	45	266	427	0.0
combined	0.55	0.8	0.6875	0.5628749286285075	0.2	0.8	800	199	0.37375	0.3625	0.01125	0.012687809997322634	-0.013618107594752363	0.03611810759475236	56	47	243	454	0.0
combined	0.55	0.8	0.6875	0.5628749286285075	0.225	0.775	800	199	0.3375	0.3525	-0.015	0.012243615996339982	-0.03899748735282636	0.008997487352826364	42	54	228	476	0.0
combined	0.55	0.8	0.6875	0.5628749286285075	0.25	0.75	800	199	0.3075	0.3425	-0.035	0.011532996684107932	-0.05760467350085155	-0.012395326499148457	29	57	217	497	0.0
combined	0.75	0.45	1.6666666666666665	2.007333433663095	0.25	0.75	800	199	0.4375	0.38875	0.04875	0.013764214975521324	0.02177213864797821	0.0757278613520218	81	42	269	408	0.0
combined	0.75	0.45	1.6666666666666665	2.007333433663095	0.275	0.725	800	199	0.38	0.35625	0.02375	0.012416728264764485	-0.0005867873989383911	0.04808678739893839	59	40	245	456	0.0
combined	0.75	0.45	1.6666666666666665	2.007333433663095	0.3	0.7	800	199	0.335	0.3325	0.0025	0.011996753315486688	-0.02101363649835391	0.026013636498353906	47	45	221	487	0.0
combined	0.75	0.45	1.6666666666666665	2.007333433663095	0.325	0.675	800	199	0.29875	0.3125	-0.01375	0.01110654609149952	-0.03551883033933906	0.00801883033933906	34	45	205	516	0.0
combined	0.75	0.45	1.6666666666666665	2.007333433663095	0.35	0.65	800	199	0.27375	0.29375	-0.02	0.010736344180303994	-0.04104323459339583	0.001043234593395826	29	45	190	536	0.0
combined	0.75	0.45	1.6666666666666665	2.007333433663095	0.375	0.625	800	199	0.24625	0.27375	-0.0275	0.009958848368462718	-0.04701934280218693	-0.007980657197813074	21	43	176	560	0.0
combined	0.75	0.45	1.6666666666666665	2.007333433663095	0.4	0.6	800	199	0.2325	0.2575	-0.025	0.010427351632969754	-0.04543760920062072	-0.0045623907993792845	25	45	161	569	0.0
combined	0.75	0.45	1.6666666666666665	2.007333433663095	0.425	0.575	800	199	0.215	0.2525	-0.0375	0.011108394710366645	-0.05927245363231862	-0.015727546367681377	25	55	147	573	0.0
