phase	node_strength	dyad_strength	raw_strength_ratio	fisher_z_strength_ratio	dyadic_weight	node_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
refined	0.35	0.45	0.7777777777777777	0.7539582096619015	0.05	0.95	400	199	0.4275	0.3825	0.045	0.0211199581339298	0.0036048820574975937	0.0863951179425024	45	27	126	202	0.0
refined	0.35	0.45	0.7777777777777777	0.7539582096619015	0.075	0.925	400	199	0.3775	0.34	0.0375	0.02130420258115867	-0.004256237059070994	0.07925623705907099	44	29	107	220	0.0
refined	0.35	0.45	0.7777777777777777	0.7539582096619015	0.1	0.9	400	199	0.3375	0.325	0.0125	0.02078314757339812	-0.02823496924386031	0.053234969243860314	37	32	98	233	0.0
refined	0.35	0.45	0.7777777777777777	0.7539582096619015	0.125	0.875	400	199	0.2975	0.295	0.0025	0.019226505696648525	-0.035183951165431104	0.04018395116543111	30	29	89	252	0.0
refined	0.35	0.45	0.7777777777777777	0.7539582096619015	0.15	0.85	400	199	0.25	0.2675	-0.0175	0.017138222535583964	-0.05109091616974457	0.01609091616974457	20	27	80	273	0.0
refined	0.35	0.45	0.7777777777777777	0.7539582096619015	0.175	0.825	400	199	0.2275	0.25	-0.0225	0.017123592454457853	-0.05606224121073739	0.011062241210737393	19	28	72	281	0.0
refined	0.35	0.45	0.7777777777777777	0.7539582096619015	0.2	0.8	400	199	0.215	0.2425	-0.0275	0.017467746862464197	-0.06173678385042983	0.0067367838504298234	19	30	67	284	0.0
refined	0.35	0.65	0.5384615384615384	0.4713586535697024	0.15	0.85	400	199	0.25	0.27	-0.02	0.014985372985307102	-0.04937133105120192	0.009371331051201918	14	22	86	278	0.0
refined	0.35	0.65	0.5384615384615384	0.4713586535697024	0.175	0.825	400	199	0.23	0.2575	-0.0275	0.013868677859259323	-0.054682608604148274	-0.0003173913958517266	10	21	82	287	0.0
refined	0.35	0.65	0.5384615384615384	0.4713586535697024	0.2	0.8	400	199	0.2225	0.2525	-0.03	0.01535707000041003	-0.06009985720080366	9.985720080366023e-05	13	25	76	286	0.0
refined	0.35	0.65	0.5384615384615384	0.4713586535697024	0.225	0.775	400	199	0.1975	0.2425	-0.045	0.015670079082318482	-0.07571335500134423	-0.014286644998655774	11	29	68	292	0.0
refined	0.35	0.65	0.5384615384615384	0.4713586535697024	0.25	0.75	400	199	0.18	0.2275	-0.0475	0.015039109416121526	-0.07697665445559819	-0.018023345544401808	9	28	63	300	0.0
refined	0.35	0.65	0.5384615384615384	0.4713586535697024	0.275	0.725	400	199	0.175	0.225	-0.05	0.015632047282926158	-0.08063881267453527	-0.019361187325464733	10	30	60	300	0.0
