phase	node_strength	dyad_strength	raw_strength_ratio	fisher_z_strength_ratio	dyadic_weight	node_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
replication	0.35	0.45	0.7777777777777777	0.7539582096619015	0.05	0.95	400	199	0.4475	0.405	0.0425	0.020068413690926733	0.0031659091657836105	0.08183409083421639	41	24	138	197	0.0
replication	0.35	0.45	0.7777777777777777	0.7539582096619015	0.075	0.925	400	199	0.4075	0.355	0.0525	0.01768165652430815	0.017843953212356024	0.08715604678764396	36	15	127	222	0.0
replication	0.35	0.45	0.7777777777777777	0.7539582096619015	0.1	0.9	400	199	0.38	0.3375	0.0425	0.01844138244455023	0.006354890408681556	0.07864510959131846	36	19	116	229	0.0
replication	0.35	0.45	0.7777777777777777	0.7539582096619015	0.125	0.875	400	199	0.3225	0.295	0.0275	0.0191775603780861	-0.01008801834104876	0.06508801834104876	35	24	94	247	0.0
replication	0.35	0.45	0.7777777777777777	0.7539582096619015	0.15	0.85	400	199	0.275	0.2575	0.0175	0.017499999999999998	-0.016799999999999995	0.0518	28	21	82	269	0.0
replication	0.35	0.45	0.7777777777777777	0.7539582096619015	0.175	0.825	400	199	0.2325	0.2275	0.005	0.016602004891459347	-0.027539929587260318	0.037539929587260316	23	21	70	286	0.0
replication	0.35	0.45	0.7777777777777777	0.7539582096619015	0.2	0.8	400	199	0.2075	0.215	-0.0075	0.016787313953531585	-0.040403135348921905	0.025403135348921906	21	24	62	293	0.0
replication	0.35	0.65	0.5384615384615384	0.4713586535697024	0.15	0.85	400	199	0.2675	0.2725	-0.005	0.016975214129336988	-0.038271419693500494	0.028271419693500496	22	24	85	269	0.0
replication	0.35	0.65	0.5384615384615384	0.4713586535697024	0.175	0.825	400	199	0.26	0.2375	0.0225	0.01637543165552475	-0.009595846044828507	0.054595846044828505	26	17	78	279	0.0
replication	0.35	0.65	0.5384615384615384	0.4713586535697024	0.2	0.8	400	199	0.235	0.2275	0.0075	0.015221320458200339	-0.022333788098072665	0.03733378809807267	20	17	74	289	0.0
