source	method	metric	contrast	estimate
population_derivative	profile_correlation	full_pathwise_slope	balanced_gaussian_cell	-0.49068591198968514
population_derivative	profile_correlation	full_pathwise_slope	node_skew_main_effect	0.3353619003421772
population_derivative	profile_correlation	full_pathwise_slope	dyad_skew_main_effect	0.2064793212807985
population_derivative	profile_correlation	full_pathwise_slope	node_by_dyad_interaction	-0.06693023835812639
population_derivative	profile_correlation	full_pathwise_slope	joint_skew_cell	0.05115530963329056
population_derivative	profile_correlation	mad_indirect_effect_component	balanced_gaussian_cell	4.338928021504115e-08
population_derivative	profile_correlation	mad_indirect_effect_component	node_skew_main_effect	0.0030062967432862024
population_derivative	profile_correlation	mad_indirect_effect_component	dyad_skew_main_effect	-0.0014101881960582028
population_derivative	profile_correlation	mad_indirect_effect_component	node_by_dyad_interaction	-0.0045979031903979365
population_derivative	profile_correlation	mad_indirect_effect_component	joint_skew_cell	0.0015961519365082146
population_derivative	profile_correlation	total_location_effect_component	balanced_gaussian_cell	2.8814634546782867e-06
population_derivative	profile_correlation	total_location_effect_component	node_skew_main_effect	0.03679172471167145
population_derivative	profile_correlation	total_location_effect_component	dyad_skew_main_effect	0.04511492972653933
population_derivative	profile_correlation	total_location_effect_component	node_by_dyad_interaction	0.04808506308376361
population_derivative	profile_correlation	total_location_effect_component	joint_skew_cell	0.08190953590166546
population_derivative	cdelta_star	full_pathwise_slope	balanced_gaussian_cell	-0.38034338329499934
population_derivative	cdelta_star	full_pathwise_slope	node_skew_main_effect	-0.005808514367411505
population_derivative	cdelta_star	full_pathwise_slope	dyad_skew_main_effect	0.38172036469027965
population_derivative	cdelta_star	full_pathwise_slope	node_by_dyad_interaction	-0.017817754804401897
population_derivative	cdelta_star	full_pathwise_slope	joint_skew_cell	-0.004431532972131215
population_derivative	cdelta_star	mad_indirect_effect_component	balanced_gaussian_cell	9.252396654391148e-09
population_derivative	cdelta_star	mad_indirect_effect_component	node_skew_main_effect	0.0026693788825022605
population_derivative	cdelta_star	mad_indirect_effect_component	dyad_skew_main_effect	-0.0007436025004932711
population_derivative	cdelta_star	mad_indirect_effect_component	node_by_dyad_interaction	-0.002621829532123756
population_derivative	cdelta_star	mad_indirect_effect_component	joint_skew_cell	0.0019257856344056436
population_derivative	cdelta_star	total_location_effect_component	balanced_gaussian_cell	8.201608027169627e-07
population_derivative	cdelta_star	total_location_effect_component	node_skew_main_effect	0.047491782592310954
population_derivative	cdelta_star	total_location_effect_component	dyad_skew_main_effect	0.05137319335842939
population_derivative	cdelta_star	total_location_effect_component	node_by_dyad_interaction	0.0758492488140622
population_derivative	cdelta_star	total_location_effect_component	joint_skew_cell	0.09886579611154306
population_derivative	mantel	full_pathwise_slope	balanced_gaussian_cell	-0.18577605636053893
population_derivative	mantel	full_pathwise_slope	node_skew_main_effect	0.09342819324079171
population_derivative	mantel	full_pathwise_slope	dyad_skew_main_effect	0.18685500119730591
population_derivative	mantel	full_pathwise_slope	node_by_dyad_interaction	-0.040403603958389295
population_derivative	mantel	full_pathwise_slope	joint_skew_cell	0.09450713807755871
population_derivative	mantel	mad_indirect_effect_component	balanced_gaussian_cell	0.0
population_derivative	mantel	mad_indirect_effect_component	node_skew_main_effect	0.0
population_derivative	mantel	mad_indirect_effect_component	dyad_skew_main_effect	0.0
population_derivative	mantel	mad_indirect_effect_component	node_by_dyad_interaction	0.0
population_derivative	mantel	mad_indirect_effect_component	joint_skew_cell	0.0
population_derivative	mantel	total_location_effect_component	balanced_gaussian_cell	0.0
population_derivative	mantel	total_location_effect_component	node_skew_main_effect	0.0
population_derivative	mantel	total_location_effect_component	dyad_skew_main_effect	0.0
population_derivative	mantel	total_location_effect_component	node_by_dyad_interaction	0.0
population_derivative	mantel	total_location_effect_component	joint_skew_cell	0.0
finite_sample_power	profile_minus_mantel	crossover_estimate	balanced_gaussian_cell	0.28
finite_sample_power	profile_minus_mantel	crossover_estimate	node_skew_main_effect	-0.27687500000000004
finite_sample_power	profile_minus_mantel	crossover_estimate	dyad_skew_main_effect	0.009374999999999994
finite_sample_power	profile_minus_mantel	crossover_estimate	node_by_dyad_interaction	-0.02124999999999999
finite_sample_power	profile_minus_mantel	crossover_estimate	joint_skew_cell	0.0125
