phase	configuration	node_strength	dyad_strength	dyadic_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
coarse	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	0.0	250	199	0.672	0.536	0.136	0.022450659868120944	0.09199670665848296	0.18000329334151705	35	1	133	81	0.0
coarse	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	0.05	250	199	0.58	0.496	0.084	0.02240051634516759	0.04009498796347153	0.1279050120365285	27	6	118	99	0.0
coarse	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	0.1	250	199	0.504	0.472	0.032	0.017809342794248537	-0.00290631187672713	0.06690631187672713	14	6	112	118	0.0
coarse	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	0.15	250	199	0.464	0.412	0.052	0.021330823145492	0.01019158663483568	0.09380841336516432	21	8	95	126	0.0
coarse	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	0.2	250	199	0.368	0.38	-0.012	0.023011783257164117	-0.05710309518404166	0.03310309518404167	15	18	77	140	0.0
coarse	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	0.25	250	199	0.328	0.352	-0.024	0.02262173671245314	-0.06833860395640816	0.020338603956408158	13	19	69	149	0.0
coarse	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	0.3	250	199	0.296	0.332	-0.036	0.023601783337426588	-0.08225949534135611	0.010259495341356117	13	22	61	154	0.0
coarse	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	0.4	250	199	0.264	0.348	-0.084	0.023106528224429247	-0.12928879531988133	-0.03871120468011868	7	28	59	156	0.0
coarse	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	0.5	250	199	0.272	0.376	-0.104	0.020940151858077762	-0.14504269764183242	-0.06295730235816757	2	28	66	154	0.0
coarse	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	0.65	250	199	0.34	0.524	-0.184	0.025831085535061804	-0.23462892764872112	-0.13337107235127887	2	48	83	117	0.0
coarse	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	0.8	250	199	0.436	0.744	-0.308	0.03033520890975359	-0.36745700946311705	-0.24854299053688295	2	79	107	62	0.0
coarse	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	1.0	250	199	0.704	0.924	-0.22	0.026251792824605793	-0.27145351393622735	-0.16854648606377265	0	55	176	19	0.0
coarse	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.0	250	199	0.656	0.532	0.124	0.023764574897950967	0.0774214332000161	0.1705785667999839	35	4	129	82	0.0
coarse	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.05	250	199	0.58	0.496	0.084	0.01846999085676536	0.0477988179207399	0.12020118207926012	22	1	123	104	0.0
coarse	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.1	250	199	0.512	0.436	0.076	0.021789795334580166	0.03329200114422287	0.11870799885577712	25	6	103	116	0.0
coarse	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.15	250	199	0.452	0.436	0.016	0.01789572653212073	-0.019075624002956627	0.05107562400295663	12	8	101	129	0.0
coarse	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.2	250	199	0.424	0.404	0.02	0.01742453608654547	-0.014152090729629117	0.05415209072962912	12	7	94	137	0.0
coarse	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.25	250	199	0.412	0.368	0.044	0.019845183932158575	0.0051034394929691945	0.0828965605070308	18	7	85	140	0.0
coarse	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.3	250	199	0.384	0.34	0.044	0.01901848603977141	0.006723767362048036	0.08127623263795196	17	6	79	148	0.0
coarse	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.4	250	199	0.36	0.356	0.004	0.017468732824850924	-0.03023871633670781	0.038238716336707806	10	9	80	151	0.0
coarse	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.5	250	199	0.368	0.416	-0.048	0.015740873559037517	-0.07885211217571353	-0.01714788782428647	2	14	90	144	0.0
coarse	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.65	250	199	0.408	0.54	-0.132	0.02289981673345232	-0.17688364079756655	-0.08711635920243346	2	35	100	113	0.0
coarse	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.8	250	199	0.508	0.648	-0.14	0.024081521519930163	-0.18719978217906313	-0.09280021782093689	3	38	124	85	0.0
coarse	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	1.0	250	199	0.66	0.788	-0.128	0.021917699290041247	-0.17095869060848085	-0.08504130939151916	1	33	164	52	0.0
