phase	configuration	dyadic_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
combined	balanced_magnitude_skew_gaussian_dyad	0.075	1200	199	0.5216666666666666	0.4666666666666667	0.055	0.008758410708100899	0.03783351501212224	0.07216648498787775	90	24	536	550	0.0
combined	balanced_magnitude_skew_gaussian_dyad	0.1	1200	199	0.48583333333333334	0.44416666666666665	0.041666666666666664	0.008819565069439978	0.024380319130564307	0.05895301420276902	82	32	501	585	0.0
combined	balanced_magnitude_skew_gaussian_dyad	0.125	1200	199	0.46	0.4166666666666667	0.043333333333333335	0.009641425925376654	0.024436138519595092	0.06223052814707158	94	42	458	606	0.0
combined	balanced_magnitude_skew_gaussian_dyad	0.15	1200	199	0.43	0.3908333333333333	0.03916666666666667	0.009474633131061817	0.020596385729785508	0.057736947603547834	89	42	427	642	0.0
combined	balanced_magnitude_skew_gaussian_dyad	0.175	1200	199	0.39666666666666667	0.37083333333333335	0.025833333333333333	0.009140090876802887	0.007918755214799674	0.04374791145186699	76	45	400	679	0.0
combined	balanced_magnitude_skew_gaussian_dyad	0.2	1200	199	0.37833333333333335	0.3566666666666667	0.021666666666666667	0.009484805850715249	0.0030764471992647813	0.040256886134068554	78	52	376	694	0.0
combined	balanced_magnitude_skew_gaussian_dyad	0.225	1200	199	0.355	0.3441666666666667	0.010833333333333334	0.009463623295491701	-0.007715368325830401	0.02938203499249707	71	58	355	716	0.0
combined	balanced_magnitude_skew_gaussian_dyad	0.25	1200	199	0.335	0.3375	-0.0025	0.009017347288796874	-0.02017400068604187	0.015174000686041871	57	60	345	738	0.0
combined	balanced_magnitude_skew_gaussian_dyad	0.275	1200	199	0.315	0.3333333333333333	-0.018333333333333333	0.00888551448785244	-0.035748941729524114	-0.0009177249371425528	46	68	332	754	0.0
combined	balanced_magnitude_skew_lognormal_dyad	0.2	1200	199	0.39166666666666666	0.3433333333333333	0.04833333333333333	0.010183084452681236	0.02837448780607811	0.06829217886058855	105	47	365	683	0.0
combined	balanced_magnitude_skew_lognormal_dyad	0.225	1200	199	0.37416666666666665	0.33916666666666667	0.035	0.009741230739162	0.01590718775124248	0.054092812248757526	90	48	359	703	0.0
combined	balanced_magnitude_skew_lognormal_dyad	0.25	1200	199	0.36	0.32166666666666666	0.03833333333333333	0.009514071732460555	0.019685752737710643	0.05698091392895602	89	43	343	725	0.0
combined	balanced_magnitude_skew_lognormal_dyad	0.275	1200	199	0.345	0.32083333333333336	0.024166666666666666	0.00914389214718195	0.006244638058190047	0.042088695275143286	75	46	339	740	0.0
combined	balanced_magnitude_skew_lognormal_dyad	0.3	1200	199	0.3333333333333333	0.32083333333333336	0.0125	0.00923891712583506	-0.0056082775666367185	0.03060827756663672	69	54	331	746	0.0
combined	balanced_magnitude_skew_lognormal_dyad	0.325	2400	199	0.32125	0.3229166666666667	-0.0016666666666666668	0.006483073660169442	-0.014373491040598773	0.011040157707265439	119	123	652	1506	0.0
combined	balanced_magnitude_skew_lognormal_dyad	0.35	2400	199	0.32208333333333333	0.3233333333333333	-0.00125	0.006361414885617045	-0.013718373175809408	0.011218373175809409	115	118	658	1509	0.0
combined	balanced_magnitude_skew_lognormal_dyad	0.375	2400	199	0.31833333333333336	0.3275	-0.009166666666666667	0.006399552713226817	-0.021709789984591228	0.0033764566512578947	107	129	657	1507	0.0
combined	balanced_magnitude_skew_lognormal_dyad	0.4	2400	199	0.31625	0.33375	-0.0175	0.006500085505150456	-0.030240167590094895	-0.004759832409905108	101	143	658	1498	0.0
combined	balanced_magnitude_skew_lognormal_dyad	0.425	1200	199	0.31916666666666665	0.3475	-0.028333333333333332	0.008863585870322783	-0.04570596163916599	-0.010960705027500676	40	74	343	743	0.0
combined	balanced_magnitude_skew_lognormal_dyad	0.45	1200	199	0.315	0.36	-0.045	0.008726610981769137	-0.06210415752426751	-0.02789584247573249	29	83	349	739	0.0
combined	balanced_magnitude_skew_lognormal_dyad	0.475	1200	199	0.31833333333333336	0.38	-0.06166666666666667	0.00911105403988626	-0.07952433258484373	-0.043809000748489604	25	99	357	719	0.0
combined	balanced_magnitude_skew_lognormal_dyad	0.5	1200	199	0.3258333333333333	0.3925	-0.06666666666666667	0.009081637381111904	-0.084466675933646	-0.04886665739968733	22	102	369	707	0.0
combined	balanced_magnitude_skew_lognormal_dyad	0.525	1200	199	0.3308333333333333	0.41083333333333333	-0.08	0.009517115086322392	-0.0986535455691919	-0.06134645443080811	21	117	376	686	0.0
combined	balanced_magnitude_skew_lognormal_dyad	0.55	1200	199	0.3416666666666667	0.4275	-0.08583333333333333	0.009363952267915717	-0.10418667977844814	-0.06747998688821852	16	119	394	671	0.0
combined	balanced_magnitude_skew_lognormal_dyad	0.575	1200	199	0.355	0.4425	-0.0875	0.009571457691244286	-0.10626005707483879	-0.0687399429251612	18	123	408	651	0.0
