phase	configuration	node_strength	dyad_strength	dyadic_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
local_seed2	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	0.075	600	199	0.52	0.4766666666666667	0.043333333333333335	0.01189750951681286	0.02001421468038013	0.06665245198628654	39	13	273	275	0.0
local_seed2	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	0.1	600	199	0.48333333333333334	0.465	0.018333333333333333	0.011411064412318154	-0.004032352914810248	0.04069901958147691	29	18	261	292	0.0
local_seed2	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	0.125	600	199	0.4583333333333333	0.43166666666666664	0.02666666666666667	0.013089024969854434	0.0010121777257519789	0.052321155607581354	39	23	236	302	0.0
local_seed2	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	0.15	600	199	0.43333333333333335	0.3983333333333333	0.035	0.0131623356006488	0.009201822222728355	0.06079817777727165	42	21	218	319	0.0
local_seed2	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	0.175	600	199	0.4033333333333333	0.375	0.028333333333333332	0.012316356436649837	0.004193274717499654	0.05247339194916701	36	19	206	339	0.0
local_seed2	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	0.2	600	199	0.38	0.355	0.025	0.012771808304536805	-3.274427689213544e-05	0.05003274427689214	37	22	191	350	0.0
local_seed2	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	0.225	600	199	0.355	0.345	0.01	0.012914254266976479	-0.0153119383632739	0.0353119383632739	33	27	180	360	0.0
local_seed2	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	0.25	600	199	0.3283333333333333	0.3466666666666667	-0.018333333333333333	0.01212051491645895	-0.042089542569592873	0.005422875902926207	21	32	176	371	0.0
local_seed2	balanced_magnitude_skew_gaussian_dyad	0.55	0.7	0.275	600	199	0.30833333333333335	0.3383333333333333	-0.03	0.011491449968155355	-0.052523241937584494	-0.007476758062415503	15	33	170	382	0.0
local_seed2	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.325	600	199	0.32666666666666666	0.32	0.006666666666666667	0.012917844651617834	-0.018652308850504284	0.03198564218383762	32	28	164	376	0.0
local_seed2	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.35	600	199	0.33	0.31833333333333336	0.011666666666666667	0.012584531465327497	-0.012999015005375225	0.03633234833870856	32	25	166	377	0.0
local_seed2	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.375	600	199	0.3233333333333333	0.32166666666666666	0.0016666666666666668	0.012370456545336079	-0.022579428162192047	0.02591276149552538	28	27	166	379	0.0
local_seed2	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.4	600	199	0.31833333333333336	0.32166666666666666	-0.0033333333333333335	0.011794159884564684	-0.026449886707080116	0.019783220040413448	24	26	167	383	0.0
local_seed2	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.425	600	199	0.32666666666666666	0.3383333333333333	-0.011666666666666667	0.011425685136499886	-0.034061009534206446	0.01072767620087311	20	27	176	377	0.0
local_seed2	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.45	600	199	0.31833333333333336	0.355	-0.03666666666666667	0.011213679803180169	-0.0586454790808998	-0.014687854252433536	12	34	179	375	0.0
local_seed2	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.475	600	199	0.315	0.37666666666666665	-0.06166666666666667	0.012338926975303546	-0.08585096353826162	-0.03748236979507172	10	47	179	364	0.0
local_seed2	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.5	600	199	0.325	0.38666666666666666	-0.06166666666666667	0.012562402205571602	-0.08628897498958701	-0.03704435834374633	11	48	184	357	0.0
local_seed2	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.525	600	199	0.325	0.4083333333333333	-0.08333333333333333	0.013939344449708799	-0.11065444845476258	-0.05601221821190408	12	62	183	343	0.0
local_seed2	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.55	600	199	0.335	0.4216666666666667	-0.08666666666666667	0.013499245978791522	-0.11312518878509806	-0.06020814454823529	9	61	192	338	0.0
local_seed2	balanced_magnitude_skew_lognormal_dyad	0.55	0.7	0.575	600	199	0.345	0.43333333333333335	-0.08833333333333333	0.01398766581773927	-0.1157491583361023	-0.06091750833056436	11	64	196	329	0.0
