phase	configuration	node_strength	dyad_strength	dyadic_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
coarse	balanced_node_gaussian_dyad	0.55	0.7	0.0	250	199	0.66	0.564	0.096	0.019510474995195596	0.057759469009416635	0.13424053099058336	25	1	140	84	0.0
coarse	balanced_node_gaussian_dyad	0.55	0.7	0.05	250	199	0.576	0.476	0.1	0.020632566763371444	0.059560169143791974	0.14043983085620804	27	2	117	104	0.0
coarse	balanced_node_gaussian_dyad	0.55	0.7	0.1	250	199	0.496	0.42	0.076	0.02251496601772067	0.03187066660526749	0.1201293333947325	26	7	98	119	0.0
coarse	balanced_node_gaussian_dyad	0.55	0.7	0.15	250	199	0.412	0.36	0.052	0.020563936928711685	0.011694683619725095	0.0923053163802749	20	7	83	140	0.0
coarse	balanced_node_gaussian_dyad	0.55	0.7	0.2	250	199	0.364	0.32	0.044	0.019845183932158575	0.0051034394929691945	0.0828965605070308	18	7	73	152	0.0
coarse	balanced_node_gaussian_dyad	0.55	0.7	0.25	250	199	0.344	0.312	0.032	0.017809342794248537	-0.00290631187672713	0.06690631187672713	14	6	72	158	0.0
coarse	balanced_node_gaussian_dyad	0.55	0.7	0.3	250	199	0.312	0.308	0.004	0.015520940641390724	-0.026421043657125817	0.03442104365712582	8	7	70	165	0.0
coarse	balanced_node_gaussian_dyad	0.55	0.7	0.4	250	199	0.3	0.312	-0.012	0.018351323776157114	-0.04796859460126794	0.023968594601267944	9	12	66	163	0.0
coarse	balanced_node_gaussian_dyad	0.55	0.7	0.5	250	199	0.26	0.348	-0.088	0.021232694347090002	-0.1296160809202964	-0.046383919079703594	4	26	61	159	0.0
coarse	balanced_node_gaussian_dyad	0.55	0.7	0.65	250	199	0.264	0.476	-0.212	0.02651482876765968	-0.263969064384613	-0.16003093561538703	1	54	65	130	0.0
coarse	balanced_node_gaussian_dyad	0.55	0.7	0.8	250	199	0.352	0.672	-0.32	0.029561724955240978	-0.37794098091227235	-0.26205901908772766	0	80	88	82	0.0
coarse	balanced_node_gaussian_dyad	0.55	0.7	1.0	250	199	0.736	0.94	-0.204	0.025537121574548162	-0.2540527582861144	-0.15394724171388557	0	51	184	15	0.0
coarse	imbalanced_node_gaussian_dyad	0.55	0.7	0.0	250	199	0.392	0.368	0.024	0.0219001017767344	-0.01892419948239942	0.06692419948239942	18	12	80	140	0.0
coarse	imbalanced_node_gaussian_dyad	0.55	0.7	0.05	250	199	0.352	0.368	-0.016	0.01789572653212073	-0.05107562400295663	0.019075624002956627	8	12	80	150	0.0
coarse	imbalanced_node_gaussian_dyad	0.55	0.7	0.1	250	199	0.34	0.336	0.004	0.016523562341389922	-0.028386182189124243	0.03638618218912425	9	8	76	157	0.0
