phase	configuration	dyadic_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
combined	balanced_node_gaussian_dyad	0.225	1200	199	0.3616666666666667	0.3416666666666667	0.02	0.00926549075207794	0.0018396381259272385	0.03816036187407276	74	50	360	716	0.0
combined	balanced_node_gaussian_dyad	0.25	1200	199	0.3425	0.32416666666666666	0.018333333333333333	0.008963393050371188	0.0007650829546058044	0.03590158371206086	69	47	342	742	0.0
combined	balanced_node_gaussian_dyad	0.275	1200	199	0.32416666666666666	0.32083333333333336	0.0033333333333333335	0.008663329910896172	-0.013646793292023163	0.02031345995868983	56	52	333	759	0.0
combined	balanced_node_gaussian_dyad	0.3	1200	199	0.31	0.3233333333333333	-0.013333333333333334	0.008655303600617807	-0.030297728390544232	0.003631061723877565	46	62	326	766	0.0
combined	balanced_node_gaussian_dyad	0.325	1200	199	0.2941666666666667	0.32416666666666666	-0.03	0.009538998571379876	-0.04869643719990455	-0.011303562800095444	48	84	305	763	0.0
combined	balanced_node_gaussian_dyad	0.35	1200	199	0.28	0.3275	-0.0475	0.009516110887145974	-0.06615157733880611	-0.02884842266119389	38	95	298	769	0.0
combined	balanced_node_gaussian_dyad	0.375	1200	199	0.27416666666666667	0.335	-0.060833333333333336	0.009525844112273677	-0.07950398779338974	-0.04216267887327693	31	104	298	767	0.0
combined	balanced_node_gaussian_dyad	0.4	1200	199	0.27166666666666667	0.3433333333333333	-0.07166666666666667	0.009572335072472677	-0.09042844340871312	-0.052904889924620224	26	112	300	762	0.0
combined	balanced_node_gaussian_dyad	0.425	1200	199	0.26916666666666667	0.3441666666666667	-0.075	0.009837786366321441	-0.09428206127799002	-0.055717938722009974	28	118	295	759	0.0
combined	balanced_node_gaussian_dyad	0.45	1200	199	0.2658333333333333	0.355	-0.08916666666666667	0.010327523768877902	-0.10940861325366735	-0.06892472007966599	28	135	291	746	0.0
combined	balanced_node_gaussian_dyad	0.475	1200	199	0.2625	0.36083333333333334	-0.09833333333333333	0.010425899439003964	-0.1187680962337811	-0.07789857043288556	25	143	290	742	0.0
combined	balanced_node_lognormal_dyad	0.175	1200	199	0.435	0.37166666666666665	0.06333333333333334	0.009402007171687037	0.04490539927682675	0.08176126738983994	104	28	418	650	0.0
combined	balanced_node_lognormal_dyad	0.2	1200	199	0.4191666666666667	0.35833333333333334	0.060833333333333336	0.009953993651845497	0.04132350577571616	0.0803431608909505	110	37	393	660	0.0
combined	balanced_node_lognormal_dyad	0.225	1200	199	0.40166666666666667	0.355	0.04666666666666667	0.00962844148174749	0.027794921362441587	0.06553841197089175	96	40	386	678	0.0
combined	balanced_node_lognormal_dyad	0.25	1200	199	0.385	0.3525	0.0325	0.009348104549051345	0.014177715083859364	0.05082228491614064	83	44	379	694	0.0
combined	balanced_node_lognormal_dyad	0.275	1200	199	0.36666666666666664	0.3625	0.004166666666666667	0.009757241298702066	-0.014957526278789383	0.023290859612122714	71	66	369	694	0.0
combined	balanced_node_lognormal_dyad	0.3	1200	199	0.35833333333333334	0.35833333333333334	0.0	0.009505423294332986	-0.01863062965689265	0.01863062965689265	65	65	365	705	0.0
combined	balanced_node_lognormal_dyad	0.325	1200	199	0.35333333333333333	0.35833333333333334	-0.005	0.009863186990195337	-0.02433184650078286	0.014331846500782858	67	73	357	703	0.0
combined	balanced_node_lognormal_dyad	0.35	1200	199	0.3383333333333333	0.36	-0.021666666666666667	0.00998458175673926	-0.041236446909875615	-0.002096886423457716	59	85	347	709	0.0
combined	balanced_node_lognormal_dyad	0.375	1200	199	0.3375	0.36916666666666664	-0.03166666666666667	0.009607123472989289	-0.050496628673725674	-0.012836704659607664	48	86	357	709	0.0
combined	imbalanced_node_gaussian_dyad	0.0	1200	199	0.3725	0.36333333333333334	0.009166666666666667	0.00820653463031108	-0.00691814120874305	0.025251474542076383	54	43	393	710	0.0
combined	imbalanced_node_gaussian_dyad	0.025	1200	199	0.3566666666666667	0.3641666666666667	-0.0075	0.007861945627287661	-0.022909413429483817	0.007909413429483817	40	49	388	723	0.0
combined	imbalanced_node_gaussian_dyad	0.05	1200	199	0.35583333333333333	0.3575	-0.0016666666666666668	0.007996240197022669	-0.0173392974528311	0.014005964119497765	45	47	382	726	0.0
combined	imbalanced_node_gaussian_dyad	0.075	1200	199	0.345	0.3625	-0.0175	0.008363131323064819	-0.03389173739320704	-0.0011082626067929584	40	61	374	725	0.0
combined	imbalanced_node_gaussian_dyad	0.1	1200	199	0.3516666666666667	0.3575	-0.005833333333333334	0.008209074981771286	-0.021923120297605053	0.010256453630938387	45	52	377	726	0.0
combined	imbalanced_node_gaussian_dyad	0.125	1200	199	0.34	0.3541666666666667	-0.014166666666666666	0.008284923330471409	-0.030405116394390627	0.0020717830610572936	41	58	367	734	0.0
combined	imbalanced_node_lognormal_dyad	0.0	1200	199	0.3425	0.3408333333333333	0.0016666666666666668	0.0080826916649151	-0.01417540899656693	0.017508742329900264	48	46	363	743	0.0
combined	imbalanced_node_lognormal_dyad	0.025	1200	199	0.3408333333333333	0.3425	-0.0016666666666666668	0.007456512168490023	-0.01628143051690711	0.012948097183573778	39	41	370	750	0.0
combined	imbalanced_node_lognormal_dyad	0.05	1200	199	0.3308333333333333	0.3408333333333333	-0.01	0.007991168324983571	-0.025662689916967803	0.0056626899169678006	40	52	357	751	0.0
combined	imbalanced_node_lognormal_dyad	0.075	1200	199	0.32416666666666666	0.3358333333333333	-0.011666666666666667	0.007813357727913065	-0.026980847813376275	0.0036475144800429404	37	51	352	760	0.0
combined	imbalanced_node_lognormal_dyad	0.1	1200	199	0.32	0.33416666666666667	-0.014166666666666666	0.008200604083247926	-0.030239850669832598	0.0019065173364992676	40	57	344	759	0.0
combined	imbalanced_node_lognormal_dyad	0.125	1200	199	0.31333333333333335	0.3358333333333333	-0.0225	0.008679593821248933	-0.03951200388964791	-0.0054879961103520905	41	68	335	756	0.0
