phase	configuration	method	epsilon	bandwidth_multiplier	batches	batch_size	total_observations	effect	effect_se	full_pathwise_slope	full_pathwise_slope_se	complete_refit_finite_slope	complete_refit_finite_slope_se	no_mad_indirect_slope	no_mad_indirect_slope_se	fixed_location_slope	fixed_location_slope_se	mad_indirect_effect_component	mad_indirect_effect_component_se	total_location_effect_component	total_location_effect_component_se	derivative_check_error	derivative_check_error_se	median_dot_x	median_dot_x_se	mad_dot_x	mad_dot_x_se	scale_dot_x	scale_dot_x_se	location_dot_x	location_dot_x_se	direct_location_dot_x	direct_location_dot_x_se	mad_indirect_location_dot_x	mad_indirect_location_dot_x_se	scale_coupling_x	scale_coupling_x_se	boundary_bandwidth_x	boundary_bandwidth_x_se	median_dot_y	median_dot_y_se	mad_dot_y	mad_dot_y_se	location_dot_y	location_dot_y_se	mad_indirect_location_dot_y	mad_indirect_location_dot_y_se	absolute_mean_derivative_check_error
sensitivity	moderate_skew	cdelta_star	0.0005	0.75	6	100000	600000	1.1840889883971173	0.0007840978964342132	-0.06658237233006277	0.0050794374486416655	-0.06642837325243622	0.0044332253918344935	-0.06837438493076589	0.0050682260896557935	-0.1035567402070461	0.005101647296748183	0.0017920126007031183	0.0001276582695307765	0.036974367876983334	0.0006666421528822835	0.00015399907762654827	0.0015271807997775707	-0.4857726345818292	0.003099439541359616	0.06708400261895421	0.0057180219960328476	0.0994587422828615	0.0084775394113183	-0.1736045131327787	0.0019280895916167918	-0.1643400334746645	0.001860406831759837	-0.00926447965811419	0.0008153069243687328	0.06995569166661174	0.0008874514572071913	0.07953428269430632	4.372615463527102e-05	-0.4833770024593726	0.0013307186003880403	0.054324368943288785	0.004876976104086127	-0.17106113410302135	0.0017027200437402434	-0.007484369381545504	0.0006757074085088932	0.00015399907762654827
sensitivity	moderate_skew	cdelta_star	0.0005	0.75	6	400000	2400000	1.1833334303438656	0.0005588746769490979	-0.060390175362554525	0.0016124004111046748	-0.06225191608255631	0.0014801992342550782	-0.062305542866395426	0.0016399145683498372	-0.09850417753884118	0.0016929817719896374	0.0019153675038408949	5.962649130127444e-05	0.03811400217628666	0.00022772239163381357	-0.0018617407200017856	0.000478777359756596	-0.48353416143104155	0.0014720922267997699	0.06154309077512924	0.001591694416862004	0.09124378638320658	0.0023598461424396066	-0.17512967342715643	0.00045387185531879816	-0.16657123595954648	0.00045770639428092003	-0.00855843746760992	0.00023412203785056474	0.07040682708327554	0.0004030751829082146	0.060216292230838075	3.030649960510573e-05	-0.4849543210428271	0.0014739148620879822	0.06521606385808038	0.0027417663429945218	-0.17413830568265784	0.0011777861471960768	-0.008986034799694781	0.00038147084513461655	0.0018617407200017856
sensitivity	moderate_skew	cdelta_star	0.0005	1.0	6	100000	600000	1.1840889883971173	0.0007840978964342132	-0.06667377367653343	0.005066234502964389	-0.06642837325243622	0.0044332253918344935	-0.06837438493076589	0.0050682260896557935	-0.1035567402070461	0.005101647296748183	0.0017006112542324512	0.00010969619872179525	0.03688296653051267	0.0006653754936327734	0.00024540042409721546	0.0015314958343391521	-0.48186529838130165	0.0024605353950388747	0.06293665234254205	0.004806288000012146	0.09330988076305281	0.007125802588818007	-0.1730291800983296	0.001899004955786189	-0.1643400334746645	0.001860406831759837	-0.00868914662366513	0.0006831340826110388	0.06995569166661174	0.0008874514572071913	0.1060457102590751	5.830153951369345e-05	-0.4801157774646864	0.001192425614589432	0.05220287921752004	0.0038222046351424743	-0.17077288072308247	0.0015278276247247219	-0.007196116001606637	0.0005391897979344175	0.00024540042409721546
sensitivity	moderate_skew	cdelta_star	0.0005	1.0	6	400000	2400000	1.1833334303438656	0.0005588746769490979	-0.060440767441953536	0.0016112139467698012	-0.06225191608255631	0.0014801992342550782	-0.062305542866395426	0.0016399145683498372	-0.09850417753884118	0.0016929817719896374	0.0018647754244418893	5.459018182144356e-05	0.03806341009688766	0.00022695634039847132	-0.00181114864060278	0.0004778939996159277	-0.4814477473150611	0.0014665389124370832	0.06007178708971528	0.0015133076553266718	0.08906243153921185	0.0022436299297873244	-0.17492549910686747	0.00043298930391384054	-0.16657123595954648	0.00045770639428092003	-0.008354263147320977	0.00022620629294511414	0.07040682708327554	0.0004030751829082146	0.08028838964111744	4.040866614013767e-05	-0.4829873134692222	0.0011619720253694464	0.0633393405531543	0.0024947684703329567	-0.17388083127166432	0.0011826593174991342	-0.008728560388701234	0.0003528377046917506	0.00181114864060278
sensitivity	moderate_skew	cdelta_star	0.0005	1.25	6	100000	600000	1.1840889883971173	0.0007840978964342132	-0.06678061586019507	0.005058217845589146	-0.06642837325243622	0.0044332253918344935	-0.06837438493076589	0.0050682260896557935	-0.1035567402070461	0.005101647296748183	0.001593769070570815	9.568765572208551e-05	0.03677612434685103	0.000663953346193374	0.00035224260775885166	0.001536105030530386	-0.4762657226107368	0.0019769097987124926	0.0584230796358425	0.004171818351884816	0.08661805786810006	0.006185137888504428	-0.17240494236853862	0.0018866927429518191	-0.1643400334746645	0.001860406831759837	-0.008064908893874114	0.0005923675952685729	0.06995569166661174	0.0008874514572071913	0.1325571378238439	7.28769243921199e-05	-0.4753556208001757	0.0010762091430219758	0.0494214694663562	0.0030800828702041904	-0.1703914265974998	0.0014164424396521207	-0.006814661876023973	0.0004425501838944137	0.00035224260775885166
sensitivity	moderate_skew	cdelta_star	0.0005	1.25	6	400000	2400000	1.1833334303438656	0.0005588746769490979	-0.06049994392309647	0.0016091486162444484	-0.06225191608255631	0.0014801992342550782	-0.062305542866395426	0.0016399145683498372	-0.09850417753884118	0.0016929817719896374	0.001805598943298949	5.074422835031613e-05	0.03800423361574471	0.000226550877059465	-0.0017519721594598397	0.0004773069794110477	-0.4788985300902842	0.0014201769909529505	0.05828403816245312	0.001518310918109411	0.086411914979653	0.0022510477671890123	-0.17467744293366091	0.00043633230198428447	-0.16657123595954648	0.00045770639428092003	-0.008106206974114414	0.00022974443779007135	0.07040682708327554	0.0004030751829082146	0.10036048705139682	5.051083267517431e-05	-0.48039643386947833	0.0009711979260250243	0.06120478248900756	0.002313939809752595	-0.17358724095816236	0.0011816972441349416	-0.008434970075199284	0.000330521724746768	0.0017519721594598397
sensitivity	moderate_skew	mantel	0.0005	0.75	6	100000	600000	0.1558375166569793	0.0014705673386888529	0.07023795279767396	0.003660251065418912	0.0703825727298435	0.003646535298424735	0.07023795279767396	0.003660251065418912	0.07023795279767396	0.003660251065418912	0.0	0.0	0.0	0.0	0.00014461993216953925	9.15294703475543e-05	-0.4857726345818292	0.003099439541359616	0.06708400261895421	0.0057180219960328476	0.0994587422828615	0.0084775394113183	-0.1736045131327787	0.0019280895916167918	-0.1643400334746645	0.001860406831759837	-0.00926447965811419	0.0008153069243687328	0.06995569166661174	0.0008874514572071913	0.07953428269430632	4.372615463527102e-05	-0.4833770024593726	0.0013307186003880403	0.054324368943288785	0.004876976104086127	-0.17106113410302135	0.0017027200437402434	-0.007484369381545504	0.0006757074085088932	0.00014461993216953925
sensitivity	moderate_skew	mantel	0.0005	0.75	6	400000	2400000	0.15797612188669222	0.0005435748005776244	0.07613921068976738	0.001809436722993675	0.07615400990467851	0.0018299702170892524	0.07613921068976738	0.001809436722993675	0.07613921068976738	0.001809436722993675	0.0	0.0	0.0	0.0	1.479921491112877e-05	2.9932016461199914e-05	-0.48353416143104155	0.0014720922267997699	0.06154309077512924	0.001591694416862004	0.09124378638320658	0.0023598461424396066	-0.17512967342715643	0.00045387185531879816	-0.16657123595954648	0.00045770639428092003	-0.00855843746760992	0.00023412203785056474	0.07040682708327554	0.0004030751829082146	0.060216292230838075	3.030649960510573e-05	-0.4849543210428271	0.0014739148620879822	0.06521606385808038	0.0027417663429945218	-0.17413830568265784	0.0011777861471960768	-0.008986034799694781	0.00038147084513461655	1.479921491112877e-05
sensitivity	moderate_skew	mantel	0.0005	1.0	6	100000	600000	0.1558375166569793	0.0014705673386888529	0.07023795279767396	0.003660251065418912	0.0703825727298435	0.003646535298424735	0.07023795279767396	0.003660251065418912	0.07023795279767396	0.003660251065418912	0.0	0.0	0.0	0.0	0.00014461993216953925	9.15294703475543e-05	-0.48186529838130165	0.0024605353950388747	0.06293665234254205	0.004806288000012146	0.09330988076305281	0.007125802588818007	-0.1730291800983296	0.001899004955786189	-0.1643400334746645	0.001860406831759837	-0.00868914662366513	0.0006831340826110388	0.06995569166661174	0.0008874514572071913	0.1060457102590751	5.830153951369345e-05	-0.4801157774646864	0.001192425614589432	0.05220287921752004	0.0038222046351424743	-0.17077288072308247	0.0015278276247247219	-0.007196116001606637	0.0005391897979344175	0.00014461993216953925
sensitivity	moderate_skew	mantel	0.0005	1.0	6	400000	2400000	0.15797612188669222	0.0005435748005776244	0.07613921068976738	0.001809436722993675	0.07615400990467851	0.0018299702170892524	0.07613921068976738	0.001809436722993675	0.07613921068976738	0.001809436722993675	0.0	0.0	0.0	0.0	1.479921491112877e-05	2.9932016461199914e-05	-0.4814477473150611	0.0014665389124370832	0.06007178708971528	0.0015133076553266718	0.08906243153921185	0.0022436299297873244	-0.17492549910686747	0.00043298930391384054	-0.16657123595954648	0.00045770639428092003	-0.008354263147320977	0.00022620629294511414	0.07040682708327554	0.0004030751829082146	0.08028838964111744	4.040866614013767e-05	-0.4829873134692222	0.0011619720253694464	0.0633393405531543	0.0024947684703329567	-0.17388083127166432	0.0011826593174991342	-0.008728560388701234	0.0003528377046917506	1.479921491112877e-05
sensitivity	moderate_skew	mantel	0.0005	1.25	6	100000	600000	0.1558375166569793	0.0014705673386888529	0.07023795279767396	0.003660251065418912	0.0703825727298435	0.003646535298424735	0.07023795279767396	0.003660251065418912	0.07023795279767396	0.003660251065418912	0.0	0.0	0.0	0.0	0.00014461993216953925	9.15294703475543e-05	-0.4762657226107368	0.0019769097987124926	0.0584230796358425	0.004171818351884816	0.08661805786810006	0.006185137888504428	-0.17240494236853862	0.0018866927429518191	-0.1643400334746645	0.001860406831759837	-0.008064908893874114	0.0005923675952685729	0.06995569166661174	0.0008874514572071913	0.1325571378238439	7.28769243921199e-05	-0.4753556208001757	0.0010762091430219758	0.0494214694663562	0.0030800828702041904	-0.1703914265974998	0.0014164424396521207	-0.006814661876023973	0.0004425501838944137	0.00014461993216953925
sensitivity	moderate_skew	mantel	0.0005	1.25	6	400000	2400000	0.15797612188669222	0.0005435748005776244	0.07613921068976738	0.001809436722993675	0.07615400990467851	0.0018299702170892524	0.07613921068976738	0.001809436722993675	0.07613921068976738	0.001809436722993675	0.0	0.0	0.0	0.0	1.479921491112877e-05	2.9932016461199914e-05	-0.4788985300902842	0.0014201769909529505	0.05828403816245312	0.001518310918109411	0.086411914979653	0.0022510477671890123	-0.17467744293366091	0.00043633230198428447	-0.16657123595954648	0.00045770639428092003	-0.008106206974114414	0.00022974443779007135	0.07040682708327554	0.0004030751829082146	0.10036048705139682	5.051083267517431e-05	-0.48039643386947833	0.0009711979260250243	0.06120478248900756	0.002313939809752595	-0.17358724095816236	0.0011816972441349416	-0.008434970075199284	0.000330521724746768	1.479921491112877e-05
sensitivity	moderate_skew	profile_correlation	0.0005	0.75	6	100000	600000	0.25688558871220096	0.0012227423395687561	-0.13879150486310968	0.006119418974803112	-0.13831117006126345	0.004919453271855634	-0.14243702255680893	0.0060782611635082995	-0.21396717694671177	0.005781113447367626	0.003645517693699247	0.00025362282885403375	0.07517567208360208	0.000765196238155028	0.0004803348018462388	0.0030450497201382153	-0.4857726345818292	0.003099439541359616	0.06708400261895421	0.0057180219960328476	0.0994587422828615	0.0084775394113183	-0.1736045131327787	0.0019280895916167918	-0.1643400334746645	0.001860406831759837	-0.00926447965811419	0.0008153069243687328	0.06995569166661174	0.0008874514572071913	0.07953428269430632	4.372615463527102e-05	-0.4833770024593726	0.0013307186003880403	0.054324368943288785	0.004876976104086127	-0.17106113410302135	0.0017027200437402434	-0.007484369381545504	0.0006757074085088932	0.0004803348018462388
