phase	configuration	node_strength	dyad_strength	dyadic_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
coarse	moderate_skew	0.55	0.7	0.0	300	199	0.37333333333333335	0.3333333333333333	0.04	0.016192818095054726	0.008262076533692736	0.07173792346630727	18	6	94	182	0.0
coarse	moderate_skew	0.55	0.7	0.05	300	199	0.37	0.30666666666666664	0.06333333333333334	0.019976760931939064	0.02417888190673277	0.1024877847599339	28	9	83	180	0.0
coarse	moderate_skew	0.55	0.7	0.1	300	199	0.3466666666666667	0.3	0.04666666666666667	0.018087692578568355	0.011214789212672695	0.08211854412066064	22	8	82	188	0.0
coarse	moderate_skew	0.55	0.7	0.15	300	199	0.32666666666666666	0.27666666666666667	0.05	0.018363965490589884	0.014006627638443833	0.08599337236155617	23	8	75	194	0.0
coarse	moderate_skew	0.55	0.7	0.2	300	199	0.2866666666666667	0.29333333333333333	-0.006666666666666667	0.01766360588533774	-0.041287334201928635	0.0279540008685953	13	15	73	199	0.0
coarse	moderate_skew	0.55	0.7	0.25	300	199	0.27	0.2866666666666667	-0.016666666666666666	0.01795468924401441	-0.05185785758493491	0.018524524251601577	12	17	69	202	0.0
coarse	moderate_skew	0.55	0.7	0.3	300	199	0.25	0.2733333333333333	-0.023333333333333334	0.01792983558451387	-0.05847581107898052	0.011809144412313847	11	18	64	207	0.0
coarse	moderate_skew	0.55	0.7	0.4	300	199	0.24	0.31333333333333335	-0.07333333333333333	0.021218895963120227	-0.11492236942104897	-0.03174429724561769	10	32	62	196	0.0
coarse	moderate_skew	0.55	0.7	0.5	300	199	0.26	0.36	-0.1	0.020309752944336314	-0.1398071157708992	-0.06019288422910083	5	35	73	187	0.0
coarse	moderate_skew	0.55	0.7	0.65	300	199	0.35333333333333333	0.5233333333333333	-0.17	0.022726624091281112	-0.214544183218911	-0.12545581678108902	2	53	104	141	0.0
coarse	moderate_skew	0.55	0.7	0.8	300	199	0.49	0.6866666666666666	-0.19666666666666666	0.023466731275881465	-0.24266145996739433	-0.15067187336593899	1	60	146	93	0.0
coarse	moderate_skew	0.55	0.7	1.0	300	199	0.6833333333333333	0.8566666666666667	-0.17333333333333334	0.021891255175071542	-0.21624019347647355	-0.13042647319019313	0	52	205	43	0.0
coarse	strong_skew	0.55	0.7	0.0	300	199	0.31666666666666665	0.29333333333333333	0.023333333333333334	0.015955856980453174	-0.007940146348354885	0.05460681301502156	15	8	80	197	0.0
coarse	strong_skew	0.55	0.7	0.05	300	199	0.3	0.2866666666666667	0.013333333333333334	0.011540567131056813	-0.009286178243538017	0.03595284491020469	8	4	82	206	0.0
coarse	strong_skew	0.55	0.7	0.1	300	199	0.30666666666666664	0.27666666666666667	0.03	0.01591854965018611	-0.0012003573143647764	0.061200357314364774	16	7	76	201	0.0
coarse	strong_skew	0.55	0.7	0.15	300	199	0.2866666666666667	0.2833333333333333	0.0033333333333333335	0.01601165498952342	-0.028049510446132575	0.03471617711279924	12	11	74	203	0.0
coarse	strong_skew	0.55	0.7	0.2	300	199	0.28	0.2866666666666667	-0.006666666666666667	0.016352672099726975	-0.03871790398213154	0.025384570648798205	11	13	73	203	0.0
coarse	strong_skew	0.55	0.7	0.25	300	199	0.2833333333333333	0.32	-0.03666666666666667	0.015871792170274766	-0.0677753793204052	-0.005557954012928128	6	17	79	198	0.0
coarse	strong_skew	0.55	0.7	0.3	300	199	0.27666666666666667	0.34	-0.06333333333333334	0.01882758320285686	-0.10023539641093279	-0.026431270255733892	7	26	76	191	0.0
coarse	strong_skew	0.55	0.7	0.4	300	199	0.27666666666666667	0.37	-0.09333333333333334	0.018705803851563948	-0.12999670888239867	-0.056669957784268	3	31	80	186	0.0
coarse	strong_skew	0.55	0.7	0.5	300	199	0.3	0.42333333333333334	-0.12333333333333334	0.021750758688613276	-0.16596482036301535	-0.08070184630365132	5	42	85	168	0.0
coarse	strong_skew	0.55	0.7	0.65	300	199	0.41333333333333333	0.5566666666666666	-0.14333333333333334	0.02080773231916616	-0.18411648867889902	-0.10255017798776767	1	44	123	132	0.0
coarse	strong_skew	0.55	0.7	0.8	300	199	0.5033333333333333	0.6866666666666666	-0.18333333333333332	0.023352436836567427	-0.22910410953300547	-0.13756255713366117	2	57	149	92	0.0
coarse	strong_skew	0.55	0.7	1.0	300	199	0.65	0.7566666666666667	-0.10666666666666667	0.017851944882371795	-0.14165647863611538	-0.07167685469721796	0	32	195	73	0.0
