phase	configuration	dyadic_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
combined	moderate_skew	0.1	1600	199	0.29625	0.283125	0.013125	0.007726271321096905	-0.0020184917893499334	0.028268491789349932	87	66	387	1060	0.0
combined	moderate_skew	0.125	1600	199	0.280625	0.278125	0.0025	0.0073441169505676284	-0.01189446922311255	0.01689446922311255	71	67	378	1084	0.0
combined	moderate_skew	0.15	1600	199	0.265	0.2725	-0.0075	0.007395033659610126	-0.021994265972835846	0.006994265972835846	64	76	360	1100	0.0
combined	moderate_skew	0.175	1600	199	0.254375	0.271875	-0.0175	0.007695492617704419	-0.03258316553070066	-0.0024168344692993404	62	90	345	1103	0.0
combined	moderate_skew	0.2	1600	199	0.243125	0.265	-0.021875	0.007508447790789844	-0.036591557669948094	-0.007158442330051905	55	90	334	1121	0.0
combined	moderate_skew	0.225	1600	199	0.235625	0.260625	-0.025	0.007370945106962618	-0.03944705240964673	-0.010552947590353271	50	90	327	1133	0.0
combined	moderate_skew	0.25	1600	199	0.22875	0.258125	-0.029375	0.0071725847566921404	-0.04343326612311659	-0.015316733876883403	43	90	323	1144	0.0
combined	moderate_skew	0.275	1600	199	0.22375	0.25625	-0.0325	0.007136818451593601	-0.046488164165123455	-0.018511835834876544	40	92	318	1150	0.0
combined	moderate_skew	0.3	1600	199	0.2225	0.26	-0.0375	0.007337727519690328	-0.05188194593859304	-0.023118054061406955	40	100	316	1144	0.0
combined	strong_skew	0.0	1600	199	0.353125	0.3475	0.005625	0.0066444294251550426	-0.007398081673303884	0.018648081673303882	61	52	504	983	0.0
combined	strong_skew	0.025	1600	199	0.34375	0.334375	0.009375	0.007041692570382839	-0.004426717437950364	0.023176717437950363	71	56	479	994	0.0
combined	strong_skew	0.05	1600	199	0.325	0.32875	-0.00375	0.006904872136724569	-0.017283549387980157	0.009783549387980156	58	64	462	1016	0.0
combined	strong_skew	0.075	1600	199	0.318125	0.32625	-0.008125	0.006986943258280692	-0.021819408786230156	0.005569408786230155	56	69	453	1022	0.0
combined	strong_skew	0.1	3200	199	0.325625	0.3390625	-0.0134375	0.005043788673889427	-0.023323325800823275	-0.003551674199176723	109	152	933	2006	0.0
combined	strong_skew	0.125	3200	199	0.3153125	0.3325	-0.0171875	0.0051552056818015175	-0.027291703136330975	-0.007083296863669028	109	164	900	2027	0.0
combined	strong_skew	0.15	1600	199	0.318125	0.349375	-0.03125	0.007617063786358455	-0.046179445021262575	-0.016320554978737425	50	100	459	991	0.0
combined	strong_skew	0.175	1600	199	0.31	0.34625	-0.03625	0.007755888541419147	-0.05145154154118153	-0.02104845845881847	49	107	447	997	0.0
combined	strong_skew	0.2	1600	199	0.305625	0.3475	-0.041875	0.007813551367655066	-0.057189560680603935	-0.02656043931939607	46	113	443	998	0.0
combined	strong_skew	0.225	1600	199	0.295	0.34375	-0.04875	0.0076620878800543685	-0.06376769224490657	-0.03373230775509344	38	116	434	1012	0.0
combined	strong_skew	0.25	1600	199	0.299375	0.3475	-0.048125	0.007535987637856348	-0.06289553577019844	-0.03335446422980156	36	113	443	1008	0.0
combined	strong_skew	0.275	1600	199	0.300625	0.350625	-0.05	0.007707926607257253	-0.06510753615022422	-0.03489246384977579	38	118	443	1001	0.0
combined	strong_skew	0.3	1600	199	0.301875	0.3575	-0.055625	0.007759714578567825	-0.07083404057399294	-0.040415959426007064	35	124	448	993	0.0
