phase	configuration	node_strength	dyad_strength	dyadic_weight	repetitions	n_perm	profile_power	mantel_power	power_difference	paired_standard_error	paired_ci_low	paired_ci_high	profile_only_rejections	mantel_only_rejections	both_reject	neither_reject	maximum_huber_cdelta_pearson_p_difference
local_seed2	moderate_skew	0.55	0.7	0.1	800	199	0.295	0.2725	0.0225	0.010583345241256165	0.0017566433271379162	0.04324335667286208	45	27	191	537	0.0
local_seed2	moderate_skew	0.55	0.7	0.125	800	199	0.27625	0.2675	0.00875	0.009764013868975296	-0.010387467183191581	0.027887467183191583	34	27	187	552	0.0
local_seed2	moderate_skew	0.55	0.7	0.15	800	199	0.265	0.2625	0.0025	0.010005864988480988	-0.017111495377422736	0.022111495377422734	33	31	179	557	0.0
local_seed2	moderate_skew	0.55	0.7	0.175	800	199	0.25	0.27	-0.02	0.010440845946574448	-0.04046405805528592	0.00046405805528591804	27	43	173	557	0.0
local_seed2	moderate_skew	0.55	0.7	0.2	800	199	0.24	0.26125	-0.02125	0.010805970948284515	-0.04242970305863765	-7.02969413623536e-05	29	46	163	562	0.0
local_seed2	moderate_skew	0.55	0.7	0.225	800	199	0.23125	0.2575	-0.02625	0.010498282683330825	-0.046826634059328416	-0.005673365940671582	25	46	160	569	0.0
local_seed2	moderate_skew	0.55	0.7	0.25	800	199	0.22125	0.255	-0.03375	0.01047142470221305	-0.05427399241633758	-0.013226007583662425	22	49	155	574	0.0
local_seed2	moderate_skew	0.55	0.7	0.275	800	199	0.21625	0.24875	-0.0325	0.010249927500583065	-0.05258985790114281	-0.012410142098857192	21	47	152	580	0.0
local_seed2	moderate_skew	0.55	0.7	0.3	800	199	0.215	0.25375	-0.03875	0.010598393949929272	-0.05952285214186137	-0.01797714785813863	21	52	151	576	0.0
local_seed2	strong_skew	0.55	0.7	0.1	800	199	0.345	0.37375	-0.02875	0.010490083373666916	-0.049310563412387154	-0.008189436587612845	24	47	252	477	0.0
local_seed2	strong_skew	0.55	0.7	0.125	800	199	0.3375	0.36	-0.0225	0.010874972127479997	-0.04381494536986079	-0.001185054630139206	29	47	241	483	0.0
local_seed2	strong_skew	0.55	0.7	0.15	800	199	0.33	0.3675	-0.0375	0.010823059214633094	-0.05871319606068086	-0.016286803939319135	23	53	241	483	0.0
local_seed2	strong_skew	0.55	0.7	0.175	800	199	0.32125	0.365	-0.04375	0.010720941895136763	-0.06476304611446805	-0.022736953885531944	20	55	237	488	0.0
local_seed2	strong_skew	0.55	0.7	0.2	800	199	0.3125	0.36375	-0.05125	0.011388213693943562	-0.07357089884012938	-0.028929101159870615	22	63	228	487	0.0
local_seed2	strong_skew	0.55	0.7	0.225	800	199	0.305	0.3525	-0.0475	0.010918044335646557	-0.06889936689786726	-0.026100633102132748	20	58	224	498	0.0
local_seed2	strong_skew	0.55	0.7	0.25	800	199	0.3075	0.3625	-0.055	0.011016826361473098	-0.07659297966848727	-0.03340702033151273	18	62	228	492	0.0
local_seed2	strong_skew	0.55	0.7	0.275	800	199	0.31375	0.3675	-0.05375	0.010953362134640016	-0.07521858978389442	-0.03228141021610557	18	61	233	488	0.0
local_seed2	strong_skew	0.55	0.7	0.3	800	199	0.31875	0.37375	-0.055	0.011157928760203311	-0.07686954036999849	-0.03313045963000151	19	63	236	482	0.0
