n	latent_correlation	population_cdelta	method	repetitions	coverage_rate	coverage_wilson_low	coverage_wilson_high	mean_width	mean_standard_error	empirical_estimate_sd	se_over_empirical_sd	mean_estimate_bias
80	0.5	1.1065532454978906	oracle_normal	3000	0.95	0.9416093729117657	0.9572396632354409	0.13556468479321637	0.034583463232624005	0.03586665324034121	0.9642233135297404	-0.001316436540725885
80	0.5	1.1065532454978906	oracle_log	3000	0.9496666666666667	0.9412519990449371	0.9569312230014198	0.13548810030463407	0.034583463232624005	0.03586665324034121	0.9642233135297404	-0.001316436540725885
80	0.5	1.1065532454978906	direct_normal	3000	0.887	0.8751726000741885	0.8978375710124092	0.12352723543301121	0.03151262890731114	0.03586665324034121	0.878605224082272	-0.001316436540725885
80	0.5	1.1065532454978906	direct_log	3000	0.8883333333333333	0.8765626340836565	0.8991107934063403	0.12363118399676425	0.03151262890731114	0.03586665324034121	0.878605224082272	-0.001316436540725885
80	0.5	1.1065532454978906	jackknife_normal	3000	0.9183333333333333	0.9079903764722218	0.9276063200942556	0.1360905513825895	0.03471761533784663	0.03586665324034121	0.9679636152613706	-0.001316436540725885
80	0.5	1.1065532454978906	jackknife_log	3000	0.923	0.9129101366891818	0.9320079572891925	0.13623075824957212	0.03471761533784663	0.03586665324034121	0.9679636152613706	-0.001316436540725885
160	0.5	1.1065532454978906	oracle_normal	3000	0.951	0.9426820684643803	0.9581644099853756	0.09585870790670015	0.024454201368704073	0.02465889005564682	0.9916991930098705	-4.253979813539921e-05
160	0.5	1.1065532454978906	oracle_log	3000	0.95	0.9416093729117657	0.9572396632354409	0.09588499801550002	0.024454201368704073	0.02465889005564682	0.9916991930098705	-4.253979813539921e-05
160	0.5	1.1065532454978906	direct_normal	3000	0.914	0.9034304901194703	0.9235106231359598	0.08990295227873499	0.022934848034932797	0.02465889005564682	0.9300843624014122	-4.253979813539921e-05
160	0.5	1.1065532454978906	direct_log	3000	0.917	0.9065864952458019	0.9263469449172762	0.08993884654382471	0.022934848034932797	0.02465889005564682	0.9300843624014122	-4.253979813539921e-05
160	0.5	1.1065532454978906	jackknife_normal	3000	0.9263333333333333	0.9164304599214784	0.9351457750653936	0.0940162273547107	0.023984172182830586	0.02465889005564682	0.9726379463433422	-4.253979813539921e-05
160	0.5	1.1065532454978906	jackknife_log	3000	0.9273333333333333	0.9174876214282933	0.936086055861128	0.09405754930010973	0.023984172182830586	0.02465889005564682	0.9726379463433422	-4.253979813539921e-05
