kind	df_label	n	k_extremes	magnitude	scenario	alpha	repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_norm	mean_corr	mean_index_overlap	mean_p	p05	p50	p95
l2	normal	40	1	4.0	matched	0.05	120	299	117	0.975	0.9291	0.9915	0.9529	0.5559	1.0	0.0187	0.0033	0.0167	0.0402
l2	normal	40	1	4.0	independent_null	0.05	120	299	10	0.0833	0.0459	0.1466	0.8916	0.0164	0.0333	0.4817	0.0233	0.4417	0.9433
l2	normal	40	1	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.971	0.8041	1.0	0.0149	0.0033	0.0133	0.0335
l2	normal	40	1	6.0	independent_null	0.05	120	299	9	0.075	0.04	0.1364	0.8464	0.0272	0.05	0.468	0.0362	0.4533	0.9137
l2	normal	40	1	8.0	matched	0.05	120	299	119	0.9917	0.9543	0.9985	0.9819	0.9033	1.0	0.0163	0.0033	0.015	0.0367
l2	normal	40	1	8.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.7978	0.0058	0.025	0.479	0.0597	0.4683	0.9405
l2	normal	40	2	4.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9661	0.6942	2.0	0.0046	0.0033	0.0033	0.01
l2	normal	40	2	4.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8815	-0.0023	0.0917	0.4906	0.0793	0.4967	0.9305
l2	normal	40	2	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9818	0.8815	2.0	0.004	0.0033	0.0033	0.0067
l2	normal	40	2	6.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8389	0.0208	0.1167	0.4431	0.0525	0.4033	0.9345
l2	normal	40	2	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9895	0.943	2.0	0.0039	0.0033	0.0033	0.0067
l2	normal	40	2	8.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8038	0.0142	0.1333	0.5073	0.0498	0.5483	0.9768
l2	normal	40	3	4.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9741	0.7534	3.0	0.0034	0.0033	0.0033	0.0033
l2	normal	40	3	4.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8852	-0.0001	0.2583	0.497	0.0662	0.4817	0.9703
l2	normal	40	3	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9869	0.9092	3.0	0.0034	0.0033	0.0033	0.0033
l2	normal	40	3	6.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8433	0.001	0.2417	0.5103	0.0528	0.5383	0.9467
l2	normal	40	3	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9922	0.9535	3.0	0.0034	0.0033	0.0033	0.0033
l2	normal	40	3	8.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8203	0.0199	0.2917	0.4784	0.0665	0.51	0.9143
l2	normal	80	1	4.0	matched	0.05	120	299	116	0.9667	0.9174	0.987	0.9383	0.3802	1.0	0.0129	0.0033	0.01	0.0302
l2	normal	80	1	4.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8999	-0.0061	0.0083	0.5148	0.063	0.5133	0.9672
l2	normal	80	1	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9539	0.6571	1.0	0.0097	0.0033	0.01	0.0202
l2	normal	80	1	6.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8641	0.0143	0.025	0.484	0.0397	0.4417	0.9345
l2	normal	80	1	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9674	0.8089	1.0	0.0102	0.0033	0.01	0.0233
l2	normal	80	1	8.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8251	-0.0011	0.0167	0.5162	0.06	0.5117	0.96
l2	normal	80	2	4.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.95	0.5358	2.0	0.0041	0.0033	0.0033	0.0067
l2	normal	80	2	4.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8871	-0.019	0.0417	0.5547	0.0622	0.5933	0.9835
l2	normal	80	2	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9685	0.7956	2.0	0.0034	0.0033	0.0033	0.0033
l2	normal	80	2	6.0	independent_null	0.05	120	299	2	0.0167	0.0046	0.0587	0.8408	-0.0162	0.025	0.5335	0.0832	0.5417	0.9473
l2	normal	80	2	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9797	0.8942	2.0	0.0036	0.0033	0.0033	0.0035
l2	normal	80	2	8.0	independent_null	0.05	120	299	0	0.0	-0.0	0.031	0.7945	-0.0216	0.0	0.5242	0.0832	0.5533	0.9238
l2	normal	80	3	4.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9581	0.6255	3.0	0.0034	0.0033	0.0033	0.0033
l2	normal	80	3	4.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8826	-0.0138	0.125	0.5363	0.0598	0.5417	0.9737
l2	normal	80	3	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9768	0.8536	3.0	0.0033	0.0033	0.0033	0.0033
l2	normal	80	3	6.0	independent_null	0.05	120	299	2	0.0167	0.0046	0.0587	0.836	0.0109	0.1417	0.4688	0.0667	0.4717	0.9302
l2	normal	80	3	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9866	0.9313	3.0	0.0033	0.0033	0.0033	0.0033
l2	normal	80	3	8.0	independent_null	0.05	120	299	9	0.075	0.04	0.1364	0.7943	-0.0028	0.1167	0.5346	0.0265	0.5633	0.9502
l2	normal	160	1	4.0	matched	0.05	120	299	107	0.8917	0.8234	0.9356	0.93	0.232	1.0	0.0205	0.0033	0.01	0.0702
l2	normal	160	1	4.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.908	-0.0013	0.0083	0.5073	0.0428	0.4967	0.9245
l2	normal	160	1	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9404	0.4803	1.0	0.0059	0.0033	0.0033	0.0133
l2	normal	160	1	6.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8829	-0.0072	0.0	0.5185	0.1115	0.5483	0.9217
l2	normal	160	1	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9497	0.6552	1.0	0.0067	0.0033	0.0067	0.0133
l2	normal	160	1	8.0	independent_null	0.05	120	299	10	0.0833	0.0459	0.1466	0.8565	0.0158	0.0167	0.4559	0.0233	0.4733	0.902
l2	normal	160	2	4.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9366	0.3742	2.0	0.0038	0.0033	0.0033	0.0067
l2	normal	160	2	4.0	independent_null	0.05	120	299	8	0.0667	0.0342	0.1261	0.8995	-0.0048	0.025	0.5228	0.0465	0.56	0.9407
l2	normal	160	2	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9528	0.6519	2.0	0.0034	0.0033	0.0033	0.0033
l2	normal	160	2	6.0	independent_null	0.05	120	299	9	0.075	0.04	0.1364	0.8635	-0.0008	0.0583	0.5453	0.0267	0.555	0.9567
l2	normal	160	2	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9657	0.8021	2.0	0.0033	0.0033	0.0033	0.0033
l2	normal	160	2	8.0	independent_null	0.05	120	299	5	0.0417	0.0179	0.0938	0.823	0.0012	0.025	0.4971	0.0598	0.4783	0.9307
l2	normal	160	3	4.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9437	0.4703	3.0	0.0034	0.0033	0.0033	0.0033
l2	normal	160	3	4.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8929	-0.0056	0.025	0.5125	0.0798	0.5083	0.9305
l2	normal	160	3	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9612	0.736	3.0	0.0033	0.0033	0.0033	0.0033
l2	normal	160	3	6.0	independent_null	0.05	120	299	8	0.0667	0.0342	0.1261	0.8526	0.0074	0.1	0.4849	0.0458	0.4467	0.9475
l2	normal	160	3	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9747	0.8653	3.0	0.0033	0.0033	0.0033	0.0033
l2	normal	160	3	8.0	independent_null	0.05	120	299	2	0.0167	0.0046	0.0587	0.8067	-0.0056	0.0333	0.4922	0.086	0.4483	0.9572
l2	t10	40	1	4.0	matched	0.05	120	299	96	0.8	0.7196	0.8618	0.9417	0.4409	1.0	0.0312	0.0033	0.025	0.0803
l2	t10	40	1	4.0	independent_null	0.05	120	299	1	0.0083	0.0015	0.0457	0.891	-0.0059	0.0	0.4954	0.0797	0.4683	0.9433
l2	t10	40	1	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9614	0.7175	1.0	0.017	0.0033	0.0167	0.0368
l2	t10	40	1	6.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8514	0.0085	0.0333	0.4972	0.0393	0.46	0.9468
l2	t10	40	1	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9741	0.8453	1.0	0.0171	0.0033	0.0133	0.0367
l2	t10	40	1	8.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.8106	-0.0165	0.0167	0.5374	0.0567	0.5317	0.934
l2	t10	40	2	4.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9573	0.6013	2.0	0.0072	0.0033	0.0033	0.02
l2	t10	40	2	4.0	independent_null	0.05	120	299	8	0.0667	0.0342	0.1261	0.8905	0.025	0.1417	0.4694	0.02	0.4567	0.9667
l2	t10	40	2	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9753	0.8233	2.0	0.0041	0.0033	0.0033	0.0067
l2	t10	40	2	6.0	independent_null	0.05	120	299	6	0.05	0.0231	0.1048	0.8457	0.0076	0.15	0.5024	0.0495	0.515	0.9403
l2	t10	40	2	8.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.986	0.9177	2.0	0.004	0.0033	0.0033	0.0067
l2	t10	40	2	8.0	independent_null	0.05	120	299	3	0.025	0.0085	0.0709	0.8074	-0.0044	0.1	0.5049	0.0667	0.49	0.9537
l2	t10	40	3	4.0	matched	0.05	120	299	119	0.9917	0.9543	0.9985	0.964	0.6548	3.0	0.0049	0.0033	0.0033	0.01
l2	t10	40	3	4.0	independent_null	0.05	120	299	7	0.0583	0.0285	0.1155	0.8885	-0.016	0.2667	0.5393	0.0363	0.5617	0.9702
l2	t10	40	3	6.0	matched	0.05	120	299	120	1.0	0.969	1.0	0.9826	0.867	3.0	0.0034	0.0033	0.0033	0.0033
l2	t10	40	3	6.0	independent_null	0.05	120	299	4	0.0333	0.013	0.0826	0.852	0.002	0.2417	0.5042	0.0633	0.515	0.9573
