kind	n	background	k	target_overlap_fraction	observed_overlap_fraction	repetitions	n_perm	rejection_rate	wilson_low	wilson_high	mean_divergence_correlation
l2	40	normal	2	0.0	0.0	300	199	0.0	0.0	0.0126	-0.039
l2	40	normal	2	0.25	0.0	300	199	0.0033	0.0006	0.0186	-0.0478
l2	40	normal	2	0.5	0.5	300	199	0.4533	0.3979	0.5099	0.4043
l2	40	normal	2	0.75	1.0	300	199	1.0	0.9874	1.0	0.8381
l2	40	normal	2	1.0	1.0	300	199	1.0	0.9874	1.0	0.8458
l2	40	t3	2	0.0	0.0	300	199	0.03	0.0159	0.056	-0.0278
l2	40	t3	2	0.25	0.0	300	199	0.04	0.023	0.0686	-0.0214
l2	40	t3	2	0.5	0.5	300	199	0.24	0.1952	0.2914	0.2637
l2	40	t3	2	0.75	1.0	300	199	0.81	0.7618	0.8504	0.5372
l2	40	t3	2	1.0	1.0	300	199	0.8	0.7511	0.8413	0.542
l2	40	t2	2	0.0	0.0	300	199	0.0467	0.028	0.0768	-0.0154
l2	40	t2	2	0.25	0.0	300	199	0.0433	0.0255	0.0727	-0.0266
l2	40	t2	2	0.5	0.5	300	199	0.1467	0.1111	0.1912	0.1538
l2	40	t2	2	0.75	1.0	300	199	0.5067	0.4504	0.5628	0.3531
l2	40	t2	2	1.0	1.0	300	199	0.4633	0.4077	0.5199	0.3331
l2	80	normal	4	0.0	0.0	300	199	0.0	0.0	0.0126	-0.0506
l2	80	normal	4	0.25	0.25	300	199	0.17	0.1317	0.2166	0.1764
l2	80	normal	4	0.5	0.5	300	199	1.0	0.9874	1.0	0.4068
l2	80	normal	4	0.75	0.75	300	199	1.0	0.9874	1.0	0.6336
l2	80	normal	4	1.0	1.0	300	199	1.0	0.9874	1.0	0.8556
l2	80	t3	4	0.0	0.0	300	199	0.0133	0.0052	0.0338	-0.029
l2	80	t3	4	0.25	0.25	300	199	0.14	0.1053	0.1838	0.1138
l2	80	t3	4	0.5	0.5	300	199	0.5633	0.5068	0.6183	0.2488
l2	80	t3	4	0.75	0.75	300	199	0.8467	0.8015	0.883	0.3872
l2	80	t3	4	1.0	1.0	300	199	0.9267	0.8915	0.9511	0.5456
l2	80	t2	4	0.0	0.0	300	199	0.0367	0.0206	0.0645	-0.0104
l2	80	t2	4	0.25	0.25	300	199	0.08	0.0543	0.1163	0.0632
l2	80	t2	4	0.5	0.5	300	199	0.2067	0.1647	0.2561	0.1341
l2	80	t2	4	0.75	0.75	300	199	0.4167	0.3623	0.4732	0.217
l2	80	t2	4	1.0	1.0	300	199	0.5967	0.5403	0.6506	0.2922
l2	160	normal	8	0.0	0.0	300	199	0.0	0.0	0.0126	-0.0461
l2	160	normal	8	0.25	0.25	300	199	0.7267	0.6736	0.774	0.1836
l2	160	normal	8	0.5	0.5	300	199	1.0	0.9874	1.0	0.4108
l2	160	normal	8	0.75	0.75	300	199	1.0	0.9874	1.0	0.636
l2	160	normal	8	1.0	1.0	300	199	1.0	0.9874	1.0	0.8613
l2	160	t3	8	0.0	0.0	300	199	0.0233	0.0113	0.0474	-0.0307
l2	160	t3	8	0.25	0.25	300	199	0.2067	0.1647	0.2561	0.106
l2	160	t3	8	0.5	0.5	300	199	0.79	0.7404	0.8323	0.2321
l2	160	t3	8	0.75	0.75	300	199	0.96	0.9314	0.977	0.376
l2	160	t3	8	1.0	1.0	300	199	0.96	0.9314	0.977	0.4968
l2	160	t2	8	0.0	0.0	300	199	0.04	0.023	0.0686	-0.0104
l2	160	t2	8	0.25	0.25	300	199	0.0867	0.0598	0.124	0.0424
l2	160	t2	8	0.5	0.5	300	199	0.26	0.2136	0.3124	0.1057
l2	160	t2	8	0.75	0.75	300	199	0.52	0.4636	0.5759	0.1734
l2	160	t2	8	1.0	1.0	300	199	0.5767	0.5201	0.6313	0.2139
l1	40	normal	2	0.0	0.0	300	199	0.0	0.0	0.0126	-0.0456
l1	40	normal	2	0.25	0.0	300	199	0.0	0.0	0.0126	-0.0432
l1	40	normal	2	0.5	0.5	300	199	0.4167	0.3623	0.4732	0.3914
l1	40	normal	2	0.75	1.0	300	199	1.0	0.9874	1.0	0.8231
l1	40	normal	2	1.0	1.0	300	199	1.0	0.9874	1.0	0.8289
l1	40	t3	2	0.0	0.0	300	199	0.02	0.0092	0.0429	-0.0351
l1	40	t3	2	0.25	0.0	300	199	0.0167	0.0071	0.0384	-0.0307
l1	40	t3	2	0.5	0.5	300	199	0.2933	0.2447	0.3472	0.2695
l1	40	t3	2	0.75	1.0	300	199	0.8467	0.8015	0.883	0.5594
l1	40	t3	2	1.0	1.0	300	199	0.8433	0.7979	0.8801	0.5409
l1	40	t2	2	0.0	0.0	300	199	0.02	0.0092	0.0429	-0.0213
l1	40	t2	2	0.25	0.0	300	199	0.0233	0.0113	0.0474	-0.011
l1	40	t2	2	0.5	0.5	300	199	0.14	0.1053	0.1838	0.16
l1	40	t2	2	0.75	1.0	300	199	0.5233	0.4669	0.5792	0.3525
