kind	scale_design	df_label	repetitions	n_perm	maximum_identity_error	p_value_mismatch_count
l2	common_scale_parameter	normal	300	299	0.0	0
l2	common_scale_parameter	t5	300	299	0.0	0
l2	common_scale_parameter	t4	300	299	0.0	0
l2	common_scale_parameter	t3	300	299	0.0	0
l2	common_scale_parameter	t2.5	300	299	0.0	0
l2	common_scale_parameter	t2.2	300	299	0.0	0
l2	common_scale_parameter	t2	300	299	0.0	0
l2	common_mad	normal	300	299	0.0	0
l2	common_mad	t5	300	299	0.0	0
l2	common_mad	t4	300	299	0.0	0
l2	common_mad	t3	300	299	0.0	0
l2	common_mad	t2.5	300	299	0.0	0
l2	common_mad	t2.2	300	299	0.0	0
l2	common_mad	t2	300	299	0.0	0
l2	common_variance	normal	300	299	0.0	0
l2	common_variance	t5	300	299	0.0	0
l2	common_variance	t4	300	299	0.0	0
l2	common_variance	t3	300	299	0.0	0
l2	common_variance	t2.5	300	299	0.0	0
l2	common_variance	t2.2	300	299	0.0	0
l1	common_scale_parameter	normal	300	299	0.0	0
l1	common_scale_parameter	t5	300	299	0.0	0
l1	common_scale_parameter	t4	300	299	0.0	0
l1	common_scale_parameter	t3	300	299	0.0	0
l1	common_scale_parameter	t2.5	300	299	0.0	0
l1	common_scale_parameter	t2.2	300	299	0.0	0
l1	common_scale_parameter	t2	300	299	0.0	0
l1	common_mad	normal	300	299	0.0	0
l1	common_mad	t5	300	299	0.0	0
l1	common_mad	t4	300	299	0.0	0
l1	common_mad	t3	300	299	0.0	0
l1	common_mad	t2.5	300	299	0.0	0
l1	common_mad	t2.2	300	299	0.0	0
l1	common_mad	t2	300	299	0.0	0
l1	common_variance	normal	300	299	0.0	0
l1	common_variance	t5	300	299	0.0	0
l1	common_variance	t4	300	299	0.0	0
l1	common_variance	t3	300	299	0.0	0
l1	common_variance	t2.5	300	299	0.0	0
l1	common_variance	t2.2	300	299	0.0	0
