kind	scale_design	df_label	scenario	n	k_extremes	magnitude	repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high
l2	common_scale_parameter	normal	matched	80	2	8.0	300	299	300	1.0	0.9874	1.0
l2	common_scale_parameter	normal	independent_null	80	2	8.0	300	299	10	0.0333	0.0182	0.0603
l2	common_scale_parameter	t5	matched	80	2	8.0	300	299	300	1.0	0.9874	1.0
l2	common_scale_parameter	t5	independent_null	80	2	8.0	300	299	16	0.0533	0.0331	0.0849
l2	common_scale_parameter	t4	matched	80	2	8.0	300	299	296	0.9867	0.9662	0.9948
l2	common_scale_parameter	t4	independent_null	80	2	8.0	300	299	15	0.05	0.0305	0.0808
l2	common_scale_parameter	t3	matched	80	2	8.0	300	299	278	0.9267	0.8915	0.9511
l2	common_scale_parameter	t3	independent_null	80	2	8.0	300	299	14	0.0467	0.028	0.0768
l2	common_scale_parameter	t2.5	matched	80	2	8.0	300	299	243	0.81	0.7618	0.8504
l2	common_scale_parameter	t2.5	independent_null	80	2	8.0	300	299	10	0.0333	0.0182	0.0603
l2	common_scale_parameter	t2.2	matched	80	2	8.0	300	299	195	0.65	0.5944	0.7018
l2	common_scale_parameter	t2.2	independent_null	80	2	8.0	300	299	22	0.0733	0.0489	0.1085
l2	common_scale_parameter	t2	matched	80	2	8.0	300	299	163	0.5433	0.4868	0.5988
l2	common_scale_parameter	t2	independent_null	80	2	8.0	300	299	15	0.05	0.0305	0.0808
l2	common_mad	normal	matched	80	2	8.0	300	299	300	1.0	0.9874	1.0
l2	common_mad	normal	independent_null	80	2	8.0	300	299	15	0.05	0.0305	0.0808
l2	common_mad	t5	matched	80	2	8.0	300	299	300	1.0	0.9874	1.0
l2	common_mad	t5	independent_null	80	2	8.0	300	299	12	0.04	0.023	0.0686
l2	common_mad	t4	matched	80	2	8.0	300	299	299	0.9967	0.9814	0.9994
l2	common_mad	t4	independent_null	80	2	8.0	300	299	9	0.03	0.0159	0.056
l2	common_mad	t3	matched	80	2	8.0	300	299	292	0.9733	0.9483	0.9864
l2	common_mad	t3	independent_null	80	2	8.0	300	299	14	0.0467	0.028	0.0768
l2	common_mad	t2.5	matched	80	2	8.0	300	299	282	0.94	0.9072	0.9617
l2	common_mad	t2.5	independent_null	80	2	8.0	300	299	13	0.0433	0.0255	0.0727
l2	common_mad	t2.2	matched	80	2	8.0	300	299	241	0.8033	0.7546	0.8444
l2	common_mad	t2.2	independent_null	80	2	8.0	300	299	15	0.05	0.0305	0.0808
l2	common_mad	t2	matched	80	2	8.0	300	299	210	0.7	0.6459	0.7491
l2	common_mad	t2	independent_null	80	2	8.0	300	299	12	0.04	0.023	0.0686
l2	common_variance	normal	matched	80	2	8.0	300	299	300	1.0	0.9874	1.0
