kind	scale_design	df_label	statistic	n	k_extremes	magnitude	repetitions	matched_median	matched_mean	null_median	null_mad	null_mean	null_sd	null_q95	robust_separation	classical_separation	matched_median_minus_null_q95	median_conditional_permutation_q95	matched_median_minus_median_permutation_q95
l2	common_scale_parameter	normal	c_delta	80	2	8.0	300	1.225335	1.225685	0.992835	0.008342	0.99989	0.028576	1.049525	27.8727	7.9017	0.17581	1.041431	0.183904
l2	common_scale_parameter	normal	divergence_correlation	80	2	8.0	300	0.89675	0.896056	-0.028057	0.032857	-0.000547	0.112352	0.200578	28.1463	7.9803	0.696172	NA	NA
l2	common_scale_parameter	t5	c_delta	80	2	8.0	300	1.166833	1.164679	0.994912	0.01036	1.001696	0.024836	1.062261	16.595	6.5624	0.104572	1.056964	0.109869
l2	common_scale_parameter	t5	divergence_correlation	80	2	8.0	300	0.759241	0.742584	-0.023283	0.045465	0.007584	0.112669	0.297004	17.2117	6.5236	0.462237	NA	NA
l2	common_scale_parameter	t4	c_delta	80	2	8.0	300	1.148327	1.145695	0.994092	0.010921	1.000428	0.024403	1.055392	14.1231	5.9529	0.092934	1.055584	0.092743
l2	common_scale_parameter	t4	divergence_correlation	80	2	8.0	300	0.690891	0.668789	-0.029911	0.048358	0.001472	0.110996	0.269125	14.9055	6.0121	0.421766	NA	NA
l2	common_scale_parameter	t3	c_delta	80	2	8.0	300	1.112991	1.111609	0.992609	0.009458	0.999421	0.024127	1.05299	12.728	4.6499	0.060001	1.050845	0.062147
l2	common_scale_parameter	t3	divergence_correlation	80	2	8.0	300	0.552712	0.526703	-0.032598	0.046198	-0.002971	0.110696	0.245442	12.6696	4.7849	0.30727	NA	NA
l2	common_scale_parameter	t2.5	c_delta	80	2	8.0	300	1.092267	1.090223	0.992538	0.01071	0.998655	0.025515	1.044714	9.3117	3.5888	0.047553	1.050607	0.04166
l2	common_scale_parameter	t2.5	divergence_correlation	80	2	8.0	300	0.44001	0.424516	-0.031634	0.051022	-0.006982	0.109513	0.191671	9.2438	3.9402	0.248339	NA	NA
l2	common_scale_parameter	t2.2	c_delta	80	2	8.0	300	1.067466	1.067489	0.992461	0.012051	1.002087	0.028232	1.063122	6.2241	2.3166	0.004344	1.048751	0.018715
l2	common_scale_parameter	t2.2	divergence_correlation	80	2	8.0	300	0.30368	0.309952	-0.030733	0.052117	0.008842	0.121589	0.285201	6.4166	2.4765	0.018479	NA	NA
l2	common_scale_parameter	t2	c_delta	80	2	8.0	300	1.060042	1.059958	0.992555	0.013333	1.001219	0.033795	1.058306	5.0616	1.7381	0.001736	1.050635	0.009407
l2	common_scale_parameter	t2	divergence_correlation	80	2	8.0	300	0.258776	0.275063	-0.026689	0.05322	0.004872	0.132281	0.259475	5.3639	2.0426	-0.000699	NA	NA
l2	common_mad	normal	c_delta	80	2	8.0	300	1.225254	1.225655	0.992798	0.009131	0.999989	0.029239	1.035437	25.4588	7.718	0.189818	1.052588	0.172666
l2	common_mad	normal	divergence_correlation	80	2	8.0	300	0.897604	0.895964	-0.02783	0.035995	0.000455	0.117485	0.142936	25.7099	7.6223	0.754667	NA	NA
