kind	scale_design	df_label	n	k_extremes	magnitude	repetition	matched_c_delta	matched_correlation	matched_p_value	independent_null_c_delta	independent_null_correlation	independent_null_p_value
l2	common_scale_parameter	normal	80	2	8.0	0	1.22583784	0.89207978	0.00333333	1.13050311	0.47593496	0.00666667
l2	common_scale_parameter	normal	80	2	8.0	1	1.25148706	0.92487585	0.00333333	1.00519059	0.02064677	0.22333333
l2	common_scale_parameter	normal	80	2	8.0	2	1.23431266	0.92064243	0.00333333	0.98171137	-0.06610218	0.8
l2	common_scale_parameter	normal	80	2	8.0	3	1.24455367	0.91882562	0.00333333	0.99266041	-0.03281963	0.54666667
l2	common_scale_parameter	normal	80	2	8.0	4	1.22856722	0.88657868	0.00333333	0.9891376	-0.04524563	0.62333333
l2	common_scale_parameter	normal	80	2	8.0	5	1.2557717	0.9445536	0.00333333	0.98669342	-0.05308993	0.7
l2	common_scale_parameter	normal	80	2	8.0	6	1.20781142	0.89694172	0.00333333	0.97552239	-0.11855475	0.98
l2	common_scale_parameter	normal	80	2	8.0	7	1.23439947	0.91690711	0.00333333	0.99283606	-0.03113767	0.51666667
l2	common_scale_parameter	normal	80	2	8.0	8	1.22517453	0.896869	0.00333333	1.04708622	0.19083409	0.04333333
l2	common_scale_parameter	normal	80	2	8.0	9	1.22187688	0.88924034	0.00333333	0.98835355	-0.04368053	0.61333333
l2	common_scale_parameter	normal	80	2	8.0	10	1.25788975	0.92376063	0.00666667	0.99667975	-0.01286162	0.38
l2	common_scale_parameter	normal	80	2	8.0	11	1.2375152	0.92877942	0.00333333	0.99384525	-0.02461797	0.47
l2	common_scale_parameter	normal	80	2	8.0	12	1.24631792	0.91391835	0.00666667	0.98088032	-0.08499903	0.88
l2	common_scale_parameter	normal	80	2	8.0	13	1.23069232	0.88303278	0.00333333	0.98955177	-0.04016884	0.57
l2	common_scale_parameter	normal	80	2	8.0	14	1.21977303	0.89334746	0.00333333	0.99042484	-0.04001434	0.64333333
l2	common_scale_parameter	normal	80	2	8.0	15	1.22727784	0.89408286	0.00333333	1.00629968	0.02510899	0.21666667
l2	common_scale_parameter	normal	80	2	8.0	16	1.23604958	0.89399758	0.00333333	1.00345454	0.01415277	0.29333333
l2	common_scale_parameter	normal	80	2	8.0	17	1.21231629	0.87608846	0.00333333	0.98605268	-0.05460469	0.65333333
l2	common_scale_parameter	normal	80	2	8.0	18	1.23996764	0.90720651	0.00333333	1.00342821	0.01324915	0.26
l2	common_scale_parameter	normal	80	2	8.0	19	1.19908825	0.85381461	0.00333333	1.00230447	0.00817132	0.23333333
l2	common_scale_parameter	normal	80	2	8.0	20	1.21287075	0.90720975	0.00333333	0.9914126	-0.03504216	0.57333333
l2	common_scale_parameter	normal	80	2	8.0	21	1.22972643	0.89097324	0.00333333	0.9851393	-0.05900749	0.73333333
l2	common_scale_parameter	normal	80	2	8.0	22	1.23588459	0.90481857	0.00666667	0.97939237	-0.0773249	0.92666667
l2	common_scale_parameter	normal	80	2	8.0	23	1.25591485	0.91241807	0.00333333	0.99913258	-0.00363474	0.34333333
l2	common_scale_parameter	normal	80	2	8.0	24	1.22960472	0.90079647	0.00333333	0.99919234	-0.00311789	0.31333333
l2	common_scale_parameter	normal	80	2	8.0	25	1.23544303	0.87641112	0.00333333	1.01220178	0.04839837	0.12
l2	common_scale_parameter	normal	80	2	8.0	26	1.22482329	0.89847992	0.00333333	0.992258	-0.03091972	0.53
l2	common_scale_parameter	normal	80	2	8.0	27	1.22226875	0.9008581	0.00333333	0.986325	-0.04769224	0.69666667
l2	common_scale_parameter	normal	80	2	8.0	28	1.20216948	0.88670324	0.00333333	0.98112677	-0.07027217	0.86333333
l2	common_scale_parameter	normal	80	2	8.0	29	1.19372549	0.83577497	0.00333333	1.00924392	0.03328388	0.20666667
l2	common_scale_parameter	normal	80	2	8.0	30	1.22334925	0.88775011	0.00333333	0.97449525	-0.09475133	0.99666667
l2	common_scale_parameter	normal	80	2	8.0	31	1.20753461	0.88760706	0.00333333	0.98691174	-0.05514339	0.71333333
l2	common_scale_parameter	normal	80	2	8.0	32	1.20111078	0.8736175	0.00666667	1.03681423	0.15008466	0.05666667
l2	common_scale_parameter	normal	80	2	8.0	33	1.20568141	0.88608334	0.00333333	0.98798019	-0.04263082	0.63333333
l2	common_scale_parameter	normal	80	2	8.0	34	1.25921001	0.92257285	0.00333333	1.00019395	0.00077346	0.29
l2	common_scale_parameter	normal	80	2	8.0	35	1.25111968	0.90570747	0.00333333	1.00513973	0.02197629	0.26333333
l2	common_scale_parameter	normal	80	2	8.0	36	1.23525256	0.88846417	0.00333333	0.98042826	-0.08267636	0.9
l2	common_scale_parameter	normal	80	2	8.0	37	1.28008648	0.93622651	0.00333333	0.99131982	-0.03225096	0.59333333
l2	common_scale_parameter	normal	80	2	8.0	38	1.22958656	0.89212752	0.00333333	1.00224471	0.00911404	0.26333333
l2	common_scale_parameter	normal	80	2	8.0	39	1.23297043	0.91246019	0.00333333	0.99092239	-0.03813845	0.57666667
l2	common_scale_parameter	normal	80	2	8.0	40	1.21663538	0.87778011	0.00333333	0.98826886	-0.04520217	0.64
l2	common_scale_parameter	normal	80	2	8.0	41	1.23611574	0.89974677	0.00333333	0.98005375	-0.07670163	0.87
l2	common_scale_parameter	normal	80	2	8.0	42	1.25269249	0.90236456	0.00333333	0.99640034	-0.01434134	0.42333333
l2	common_scale_parameter	normal	80	2	8.0	43	1.24992336	0.93319682	0.00333333	0.98522131	-0.05898809	0.77666667
l2	common_scale_parameter	normal	80	2	8.0	44	1.21813807	0.88470672	0.00333333	0.99835862	-0.006617	0.36333333
l2	common_scale_parameter	normal	80	2	8.0	45	1.24448138	0.91515372	0.00333333	1.00193507	0.00840243	0.29
l2	common_scale_parameter	normal	80	2	8.0	46	1.23602836	0.90796649	0.00333333	1.13425182	0.48936266	0.00666667
l2	common_scale_parameter	normal	80	2	8.0	47	1.21492668	0.91525609	0.00333333	1.00919308	0.03802635	0.14
l2	common_scale_parameter	normal	80	2	8.0	48	1.24347887	0.91107436	0.00333333	0.99395421	-0.02437654	0.45
l2	common_scale_parameter	normal	80	2	8.0	49	1.21276151	0.88793441	0.00333333	0.99087725	-0.03559522	0.51
l2	common_scale_parameter	normal	80	2	8.0	50	1.22121962	0.88339148	0.00333333	1.00106684	0.00389261	0.25333333
l2	common_scale_parameter	normal	80	2	8.0	51	1.24253551	0.89412504	0.00333333	0.97957245	-0.08397074	0.93333333
l2	common_scale_parameter	normal	80	2	8.0	52	1.21566934	0.90949154	0.00333333	0.97426358	-0.09568506	0.99
l2	common_scale_parameter	normal	80	2	8.0	53	1.21311075	0.89826515	0.00333333	0.9947184	-0.01895381	0.42666667
l2	common_scale_parameter	normal	80	2	8.0	54	1.2112	0.8850667	0.00333333	1.00312989	0.0123119	0.21
l2	common_scale_parameter	normal	80	2	8.0	55	1.23038888	0.90805273	0.00333333	0.99986403	-0.00051436	0.28333333
l2	common_scale_parameter	normal	80	2	8.0	56	1.20567388	0.86069333	0.00333333	1.00636147	0.02460457	0.19666667
l2	common_scale_parameter	normal	80	2	8.0	57	1.22473099	0.88749374	0.00333333	0.98152661	-0.07579096	0.83
l2	common_scale_parameter	normal	80	2	8.0	58	1.21813524	0.86462051	0.00333333	1.00611209	0.02430892	0.22666667
l2	common_scale_parameter	normal	80	2	8.0	59	1.22857496	0.8996527	0.00333333	0.976962	-0.09070535	0.95666667
l2	common_scale_parameter	normal	80	2	8.0	60	1.24498875	0.91306649	0.00333333	0.98062235	-0.0773962	0.93
l2	common_scale_parameter	normal	80	2	8.0	61	1.25313709	0.91426447	0.00333333	1.01248247	0.052498	0.09
l2	common_scale_parameter	normal	80	2	8.0	62	1.23844722	0.89152791	0.00333333	0.99661703	-0.01348873	0.38333333
l2	common_scale_parameter	normal	80	2	8.0	63	1.23189314	0.90827859	0.00333333	0.99433312	-0.02246971	0.41
l2	common_scale_parameter	normal	80	2	8.0	64	1.21967757	0.86923154	0.00333333	0.98936198	-0.04632901	0.66
l2	common_scale_parameter	normal	80	2	8.0	65	1.24134033	0.90062995	0.00333333	1.09641643	0.4113627	0.04333333
l2	common_scale_parameter	normal	80	2	8.0	66	1.22605349	0.91178002	0.00333333	0.97512376	-0.09358285	0.96333333
l2	common_scale_parameter	normal	80	2	8.0	67	1.22155319	0.89672807	0.00333333	0.99638855	-0.01461937	0.46333333
l2	common_scale_parameter	normal	80	2	8.0	68	1.2110245	0.886806	0.00333333	0.99425139	-0.02279015	0.42333333
l2	common_scale_parameter	normal	80	2	8.0	69	1.22992942	0.89920901	0.00333333	1.10720715	0.41761464	0.05
l2	common_scale_parameter	normal	80	2	8.0	70	1.220701	0.89760508	0.00333333	0.98380267	-0.06209381	0.75333333
l2	common_scale_parameter	normal	80	2	8.0	71	1.23154786	0.89740159	0.00333333	0.98849015	-0.04039082	0.61333333
l2	common_scale_parameter	normal	80	2	8.0	72	1.22705626	0.91469591	0.00333333	0.9967279	-0.01212472	0.29333333
l2	common_scale_parameter	normal	80	2	8.0	73	1.24661572	0.93652351	0.00333333	0.97397476	-0.09679312	0.99666667
l2	common_scale_parameter	normal	80	2	8.0	74	1.21751228	0.86004156	0.00333333	0.97245309	-0.10772006	0.99
l2	common_scale_parameter	normal	80	2	8.0	75	1.21042418	0.87949484	0.00333333	0.99287895	-0.02818988	0.48
l2	common_scale_parameter	normal	80	2	8.0	76	1.24631399	0.90269717	0.00333333	1.01204164	0.05266467	0.12333333
