method	aggregation	temperature	minimum_null_rejection	maximum_null_rejection	mean_alternative_power
cv_retrained	all	all	0.03	0.06333333333333334	0.3476491769547325
cv_standardized	all	all	0.035	0.058333333333333334	0.36539609053497946
mantel	all	all	0.03166666666666667	0.056666666666666664	0.4181944444444445
nested_max	all	all	0.03666666666666667	0.055	0.4054166666666667
profile	all	all	0.035	0.051666666666666666	0.4023611111111111
standardized_max	all	all	0.03	0.06166666666666667	0.4216666666666667
cv_retrained	building_equal	0.0	temperature_power	0.0	0.3120833333333333
cv_retrained	building_equal	0.1	temperature_power	0.1	0.3113888888888889
cv_retrained	building_equal	0.25	temperature_power	0.25	0.3125
cv_retrained	building_equal	0.5	temperature_power	0.5	0.31222222222222223
cv_retrained	building_equal	1.0	temperature_power	1.0	0.3101388888888889
cv_retrained	building_equal	2.0	temperature_power	2.0	0.3088888888888889
cv_retrained	building_equal	4.0	temperature_power	4.0	0.2980555555555556
cv_retrained	building_equal	8.0	temperature_power	8.0	0.2788888888888889
cv_retrained	building_equal	16.0	temperature_power	16.0	0.2697222222222222
cv_retrained	sqrt_rooms	0.0	temperature_power	0.0	0.3659722222222222
cv_retrained	sqrt_rooms	0.1	temperature_power	0.1	0.3648611111111111
cv_retrained	sqrt_rooms	0.25	temperature_power	0.25	0.36625
cv_retrained	sqrt_rooms	0.5	temperature_power	0.5	0.3655555555555556
cv_retrained	sqrt_rooms	1.0	temperature_power	1.0	0.3622222222222222
cv_retrained	sqrt_rooms	2.0	temperature_power	2.0	0.35847222222222225
cv_retrained	sqrt_rooms	4.0	temperature_power	4.0	0.34375
cv_retrained	sqrt_rooms	8.0	temperature_power	8.0	0.3251388888888889
cv_retrained	sqrt_rooms	16.0	temperature_power	16.0	0.30916666666666665
cv_retrained	room_equal	0.0	temperature_power	0.0	0.4058333333333333
cv_retrained	room_equal	0.1	temperature_power	0.1	0.4048611111111111
cv_retrained	room_equal	0.25	temperature_power	0.25	0.4051388888888889
cv_retrained	room_equal	0.5	temperature_power	0.5	0.40444444444444444
cv_retrained	room_equal	1.0	temperature_power	1.0	0.4025
cv_retrained	room_equal	2.0	temperature_power	2.0	0.3973611111111111
cv_retrained	room_equal	4.0	temperature_power	4.0	0.3863888888888889
cv_retrained	room_equal	8.0	temperature_power	8.0	0.3626388888888889
cv_retrained	room_equal	16.0	temperature_power	16.0	0.3420833333333333
cv_standardized	building_equal	0.0	temperature_power	0.0	0.36680555555555555
cv_standardized	building_equal	0.1	temperature_power	0.1	0.3670833333333334
cv_standardized	building_equal	0.25	temperature_power	0.25	0.3659722222222222
cv_standardized	building_equal	0.5	temperature_power	0.5	0.36625
cv_standardized	building_equal	1.0	temperature_power	1.0	0.35805555555555557
cv_standardized	building_equal	2.0	temperature_power	2.0	0.33819444444444446
cv_standardized	building_equal	4.0	temperature_power	4.0	0.315
cv_standardized	building_equal	8.0	temperature_power	8.0	0.2986111111111111
cv_standardized	building_equal	16.0	temperature_power	16.0	0.29305555555555557
cv_standardized	sqrt_rooms	0.0	temperature_power	0.0	0.3972222222222222
cv_standardized	sqrt_rooms	0.1	temperature_power	0.1	0.3979166666666667
cv_standardized	sqrt_rooms	0.25	temperature_power	0.25	0.39666666666666667
cv_standardized	sqrt_rooms	0.5	temperature_power	0.5	0.3970833333333334
cv_standardized	sqrt_rooms	1.0	temperature_power	1.0	0.39222222222222225
cv_standardized	sqrt_rooms	2.0	temperature_power	2.0	0.3765277777777778
cv_standardized	sqrt_rooms	4.0	temperature_power	4.0	0.35055555555555556
cv_standardized	sqrt_rooms	8.0	temperature_power	8.0	0.3340277777777778
cv_standardized	sqrt_rooms	16.0	temperature_power	16.0	0.3233333333333333
cv_standardized	room_equal	0.0	temperature_power	0.0	0.4008333333333333
cv_standardized	room_equal	0.1	temperature_power	0.1	0.4008333333333334
cv_standardized	room_equal	0.25	temperature_power	0.25	0.4002777777777778
cv_standardized	room_equal	0.5	temperature_power	0.5	0.3993055555555556
cv_standardized	room_equal	1.0	temperature_power	1.0	0.39666666666666667
cv_standardized	room_equal	2.0	temperature_power	2.0	0.3825
cv_standardized	room_equal	4.0	temperature_power	4.0	0.3645833333333333
cv_standardized	room_equal	8.0	temperature_power	8.0	0.34736111111111106
cv_standardized	room_equal	16.0	temperature_power	16.0	0.33875000000000005
