permutation_scheme	method	repetitions	reject_count	rejection_rate	wilson_low	wilson_high	mean_profile_weight
unrestricted	cv_retrained	1600	1	0.000625	0.00011033636778615998	0.003531830872976749	0.0
unrestricted	cv_standardized	1600	28	0.0175	0.012135131173077709	0.025176199377446657	0.0
unrestricted	mantel	1600	502	0.31375	0.29148259164783497	0.3369096058962793	0.0
unrestricted	nested_max	1600	256	0.16	0.14285404194651377	0.17877466766421843	0.0
unrestricted	profile	1600	228	0.1425	0.12622714503284158	0.1604853952196195	0.0
unrestricted	standardized_max	1600	478	0.29875	0.27682633770274034	0.32163771467714164	0.0
within_building	cv_retrained	1600	69	0.043125	0.03421757156873364	0.05422100697068775	0.0
within_building	cv_standardized	1600	74	0.04625	0.03700075343144666	0.057672855350523154	0.0
within_building	mantel	1600	72	0.045	0.0358858916070947	0.05629370507785575	0.0
within_building	nested_max	1600	70	0.04375	0.03477313445770904	0.054912450130222036	0.0
within_building	profile	1600	70	0.04375	0.03477313445770904	0.054912450130222036	0.0
within_building	standardized_max	1600	71	0.044375	0.03532924475256188	0.05560334588387888	0.0
