phase	design	scenario	permutation_scheme	temperature	aggregation	method	repetitions	n_perm	rejection_rate	wilson_low	wilson_high
seed2	severely_unequal	conditional_null_covariate_confounding	unrestricted	4.0	building_equal	profile	800	199	0.14625	0.12345475921735781	0.17242629569815798
seed2	severely_unequal	conditional_null_covariate_confounding	unrestricted	4.0	building_equal	mantel	800	199	0.32875	0.2970839125731392	0.36205285252730485
seed2	severely_unequal	conditional_null_covariate_confounding	unrestricted	4.0	building_equal	nested_max	800	199	0.16875	0.14439354842269603	0.1962724570635644
seed2	severely_unequal	conditional_null_covariate_confounding	unrestricted	4.0	building_equal	standardized_max	800	199	0.3175	0.28618032541044236	0.35056396440462945
seed2	severely_unequal	conditional_null_covariate_confounding	unrestricted	4.0	building_equal	cv_retrained	800	199	0.0	4.336808689942018e-19	0.004778876205676033
seed2	severely_unequal	conditional_null_covariate_confounding	unrestricted	4.0	building_equal	cv_standardized	800	199	0.0175	0.010452543513909231	0.029159072024568154
seed2	severely_unequal	conditional_null_covariate_confounding	within_building	4.0	building_equal	profile	800	199	0.0475	0.03480005831285475	0.06452482465328206
seed2	severely_unequal	conditional_null_covariate_confounding	within_building	4.0	building_equal	mantel	800	199	0.04625	0.033738403716588684	0.06309842644006232
seed2	severely_unequal	conditional_null_covariate_confounding	within_building	4.0	building_equal	nested_max	800	199	0.05	0.036931386385980994	0.06736960219912745
seed2	severely_unequal	conditional_null_covariate_confounding	within_building	4.0	building_equal	standardized_max	800	199	0.04375	0.03162362448958758	0.060237100048091796
seed2	severely_unequal	conditional_null_covariate_confounding	within_building	4.0	building_equal	cv_retrained	800	199	0.03875	0.027431519536182523	0.05447699376355362
seed2	severely_unequal	conditional_null_covariate_confounding	within_building	4.0	building_equal	cv_standardized	800	199	0.04625	0.033738403716588684	0.06309842644006232
