kind	background	scenario	n	k_extremes	magnitude	alpha	repetitions	n_perm	reject_count	rejection_rate	wilson_low	wilson_high	mean_raw	mean_norm	mean_corr	mean_p	p05	p50	p95	mean_index_overlap
l2	normal	matched	40	2	8.0	0.05	300	499	300	1.0	0.9874	1.0	49.5415	0.99	0.9456	0.0027	0.002	0.002	0.004	2.0
l2	normal	negative_control	40	2	8.0	0.05	300	499	0	0.0	0.0	0.0126	39.5309	0.7912	-0.0468	0.5301	0.1558	0.501	0.9504	0.0
l2	normal	independent_null	40	2	8.0	0.05	300	499	15	0.05	0.0305	0.0808	40.0228	0.8015	0.0029	0.4961	0.0537	0.502	0.9301	0.1033
l2	t3	matched	40	2	8.0	0.05	300	499	285	0.95	0.9192	0.9695	45.89	0.9569	0.7085	0.0085	0.002	0.002	0.0481	2.0
l2	t3	negative_control	40	2	8.0	0.05	300	499	3	0.01	0.0034	0.029	39.6783	0.8263	-0.0372	0.5544	0.1315	0.554	0.9661	0.0
l2	t3	independent_null	40	2	8.0	0.05	300	499	14	0.0467	0.028	0.0768	39.918	0.832	-0.0096	0.5211	0.0615	0.522	0.946	0.0867
l2	lognormal	matched	40	2	8.0	0.05	300	499	300	1.0	0.9874	1.0	49.3848	0.989	0.9358	0.0027	0.002	0.002	0.006	2.0
l2	lognormal	negative_control	40	2	8.0	0.05	300	499	0	0.0	0.0	0.0126	39.5574	0.7914	-0.0442	0.547	0.124	0.55	0.962	0.0
l2	lognormal	independent_null	40	2	8.0	0.05	300	499	10	0.0333	0.0182	0.0603	39.9219	0.7982	-0.0072	0.512	0.07	0.525	0.9562	0.09
l1	normal	matched	40	2	8.0	0.05	300	499	300	1.0	0.9874	1.0	63.4955	0.9755	0.9307	0.0027	0.002	0.002	0.006	2.0
l1	normal	negative_control	40	2	8.0	0.05	300	499	0	0.0	0.0	0.0126	38.6352	0.5921	-0.054	0.5654	0.1539	0.56	0.9643	0.0
l1	normal	independent_null	40	2	8.0	0.05	300	499	16	0.0533	0.0331	0.0849	40.1157	0.6132	0.004	0.4822	0.0438	0.486	0.9421	0.0933
l1	t3	matched	40	2	8.0	0.05	300	499	281	0.9367	0.9032	0.9591	53.1145	0.9073	0.6832	0.0098	0.002	0.002	0.056	2.0
l1	t3	negative_control	40	2	8.0	0.05	300	499	6	0.02	0.0092	0.0429	39.4921	0.678	-0.0292	0.5391	0.116	0.549	0.9603	0.0
l1	t3	independent_null	40	2	8.0	0.05	300	499	15	0.05	0.0305	0.0808	40.1036	0.6833	-0.001	0.5196	0.0556	0.552	0.9581	0.0933
l1	lognormal	matched	40	2	8.0	0.05	300	499	300	1.0	0.9874	1.0	68.208	0.9515	0.8796	0.0027	0.002	0.002	0.006	2.0
l1	lognormal	negative_control	40	2	8.0	0.05	300	499	0	0.0	0.0	0.0126	38.3361	0.535	-0.0514	0.556	0.152	0.566	0.9522	0.0
l1	lognormal	independent_null	40	2	8.0	0.05	300	499	17	0.0567	0.0357	0.0889	40.1218	0.5579	0.0036	0.5064	0.0418	0.515	0.9421	0.1033
